[zipcode=]충북 제천시 강제동 강저휴먼시아2단지아파트 (201∼205동) 49800 ]
[zipcode=]충북 제천시 강제동 강저휴먼시아3단지아파트 (301∼309동) 49801 ]
[zipcode=]충북 제천시 강제동  49802 ]
[zipcode=]충북 청주시 상당구 금천동 효성아파트 (101∼201동) 50014 ]
[zipcode=]충북 청주시 상당구 금천동 1∼100 50015 ]
[zipcode=]충북 청주시 상당구 금천동 101∼150 50016 ]
[zipcode=]충북 청주시 상당구 금천동 151∼198 50017 ]
[zipcode=]충북 청주시 상당구 금천동 199∼350 50018 ]
[zipcode=]충북 청주시 상당구 금천동  50019 ]
[zipcode=]충북 청주시 상당구 남문로1가  50020 ]
[zipcode=]충북 청주시 상당구 남문로2가 롯데쇼핑(주)청주영플라자  50021 ]
[zipcode=]충북 청주시 상당구 남문로2가  50022 ]
[zipcode=]충북 청주시 상당구 남주동  50023 ]
[zipcode=]충북 청주시 상당구 내덕1동 보성아파트  50024 ]
[zipcode=]충북 청주시 상당구 내덕1동 173∼182 50025 ]
[zipcode=]충북 청주시 상당구 내덕1동 213 50026 ]
[zipcode=]충북 청주시 상당구 내덕1동 216-(11)∼219 50027 ]
[zipcode=]충북 청주시 상당구 내덕1동 225∼227-(9) 50028 ]
[zipcode=]충북 청주시 상당구 내덕1동 269-(15∼44) 50029 ]
[zipcode=]충북 청주시 상당구 내덕1동 271∼273 50030 ]
[zipcode=]충북 청주시 상당구 내덕1동 275∼306 50031 ]
[zipcode=]충북 청주시 상당구 내덕1동 307∼376 50032 ]
[zipcode=]충북 청주시 상당구 내덕1동 550∼615 50033 ]
[zipcode=]충북 청주시 상당구 내덕1동 642∼700 50034 ]
[zipcode=]충북 청주시 상당구 내덕1동 703∼706 50035 ]
[zipcode=]충북 청주시 상당구 내덕1동 710∼719 50036 ]
[zipcode=]충북 청주시 상당구 내덕1동 721∼772 50037 ]
[zipcode=]충북 청주시 상당구 내덕1동 775∼781 50038 ]
[zipcode=]충북 청주시 상당구 내덕1동 788 50039 ]
[zipcode=]충북 청주시 상당구 내덕1동 828 50040 ]
[zipcode=]충북 청주시 상당구 내덕1동  50041 ]
[zipcode=]충북 청주시 상당구 내덕2동 신화아파트  50042 ]
[zipcode=]충북 청주시 상당구 내덕2동 청주대학교  50043 ]
[zipcode=]충북 청주시 상당구 내덕2동 9∼23 50044 ]
[zipcode=]충북 청주시 상당구 내덕2동 41∼60 50045 ]
[zipcode=]충북 청주시 상당구 내덕2동 61∼65 50046 ]
[zipcode=]충북 청주시 상당구 내덕2동 68 50047 ]
[zipcode=]충북 청주시 상당구 내덕2동 73∼170 50048 ]
[zipcode=]충북 청주시 상당구 내덕2동 171∼172 50049 ]
[zipcode=]충북 청주시 상당구 내덕2동 188 50050 ]
[zipcode=]충북 청주시 상당구 내덕2동 194∼212 50051 ]
[zipcode=]충북 청주시 상당구 내덕2동 214∼216-(10) 50052 ]
[zipcode=]충북 청주시 상당구 내덕2동 227-(10)∼236 50053 ]
[zipcode=]충북 청주시 상당구 내덕2동 269-(6∼14) 50054 ]
[zipcode=]충북 청주시 상당구 내덕2동 270 50055 ]
[zipcode=]충북 청주시 상당구 내덕2동 274∼275 50056 ]
[zipcode=]충북 청주시 상당구 내덕2동 377∼383 50057 ]
[zipcode=]충북 청주시 상당구 내덕2동 386∼402 50058 ]
[zipcode=]충북 청주시 상당구 내덕2동 403∼499 50059 ]
[zipcode=]충북 청주시 상당구 내덕2동 509∼542 50060 ]
[zipcode=]충북 청주시 상당구 내덕2동 813∼827 50061 ]
[zipcode=]충북 청주시 상당구 내덕2동 836 50062 ]
[zipcode=]충북 청주시 상당구 내덕2동  50063 ]
[zipcode=]충북 청주시 상당구 내덕동  50064 ]
[zipcode=]충북 청주시 상당구 대성동 우성아파트  50065 ]
[zipcode=]충북 청주시 상당구 대성동  50066 ]
[zipcode=]충북 청주시 상당구 명암동  50067 ]
[zipcode=]충북 청주시 상당구 문화동 충청북도청  50068 ]
[zipcode=]충북 청주시 상당구 문화동  50069 ]
[zipcode=]충북 청주시 상당구 방서동  50070 ]
[zipcode=]충북 청주시 상당구 북문로1가 KT청주지사  50071 ]
[zipcode=]충북 청주시 상당구 북문로1가 청원군청  50072 ]
[zipcode=]충북 청주시 상당구 북문로1가 청주우체국  50073 ]
[zipcode=]충북 청주시 상당구 북문로1가 흥업백화점  50074 ]
[zipcode=]충북 청주시 상당구 북문로1가  50075 ]
[zipcode=]충북 청주시 상당구 북문로2가 청주상공회의소  50076 ]
[zipcode=]충북 청주시 상당구 북문로2가  50077 ]
[zipcode=]충북 청주시 상당구 북문로3가 청주시청  50078 ]
[zipcode=]충북 청주시 상당구 북문로3가 한화생명빌딩  50079 ]
[zipcode=]충북 청주시 상당구 북문로3가  50080 ]
[zipcode=]충북 청주시 상당구 사천동 동아아파트  50081 ]
[zipcode=]충북 청주시 상당구 사천동 신동아아파트  50082 ]
[zipcode=]충북 청주시 상당구 사천동 하우스토리A단지아파트 (101∼106동) 50083 ]
[zipcode=]충북 청주시 상당구 사천동 하우스토리B단지아파트 (201∼208동) 50084 ]
[zipcode=]충북 청주시 상당구 사천동  50085 ]
[zipcode=]충북 청주시 상당구 산성동  50086 ]
[zipcode=]충북 청주시 상당구 서문동 국민연금공단청주지사  50087 ]
[zipcode=]충북 청주시 상당구 서문동  50088 ]
[zipcode=]충북 청주시 상당구 서운동  50089 ]
[zipcode=]충북 청주시 상당구 석교동  50090 ]
[zipcode=]충북 청주시 상당구 수동  50091 ]
[zipcode=]충북 청주시 상당구 영동 알리안츠생명빌딩  50092 ]
[zipcode=]충북 청주시 상당구 영동  50093 ]
[zipcode=]충북 청주시 상당구 영운동 영운수정아파트 (101∼102동) 50094 ]
[zipcode=]충북 청주시 상당구 영운동  50095 ]
[zipcode=]충북 청주시 상당구 오동동  50096 ]
[zipcode=]충북 청주시 상당구 외남동  50097 ]
[zipcode=]충북 청주시 상당구 외평동  50098 ]
[zipcode=]충북 청주시 상당구 외하동  50099 ]
[zipcode=]충북 청주시 상당구 용담동 가좌마을2단지부영아파트 (201∼207동) 50100 ]
[zipcode=]충북 청주시 상당구 용담동 가좌마을5단지부영아파트 (501∼506동) 50101 ]
[zipcode=]충북 청주시 상당구 용담동 가좌마을e-편한세상아파트 (101∼108동) 50102 ]
[zipcode=]충북 청주시 상당구 용담동 부영1차e그린아파트 (301∼305동) 50103 ]
[zipcode=]충북 청주시 상당구 용담동 세영첼시빌아파트 (101∼111동) 50104 ]
[zipcode=]충북 청주시 상당구 용담동  50105 ]
[zipcode=]충북 청주시 상당구 용암1동 강변뜨란채아파트 (101∼109동) 50106 ]
[zipcode=]충북 청주시 상당구 용암1동 건영아파트 (1∼13동) 50107 ]
[zipcode=]충북 청주시 상당구 용암1동 용암덕일마이빌아파트 (501∼511동) 50108 ]
[zipcode=]충북 청주시 상당구 용암1동 용암임광아파트 (101∼103동) 50109 ]
[zipcode=]충북 청주시 상당구 용암1동 용암현대아파트 (101∼306동) 50110 ]
[zipcode=]충북 청주시 상당구 용암1동 주공아파트 (101∼105동) 50111 ]
[zipcode=]충북 청주시 상당구 용암1동 주공아파트 (201∼207동) 50112 ]
[zipcode=]충북 청주시 상당구 용암1동 중흥마을부영아파트 (101∼109동) 50113 ]
[zipcode=]충북 청주시 상당구 용암1동 중흥마을부영아파트 (201∼208동) 50114 ]
[zipcode=]충북 청주시 상당구 용암1동 중흥마을부영아파트 (601∼609동) 50115 ]
[zipcode=]충북 청주시 상당구 용암1동 중흥마을e-그린부영아파트 (301∼305동) 50116 ]
[zipcode=]충북 청주시 상당구 용암1동 한우리타운아파트 (101∼103동) 50117 ]
[zipcode=]충북 청주시 상당구 용암1동 1∼424 50118 ]
[zipcode=]충북 청주시 상당구 용암1동 443∼1099 50119 ]
[zipcode=]충북 청주시 상당구 용암1동 1100∼1599 50120 ]
[zipcode=]충북 청주시 상당구 용암1동 1600∼1704 50121 ]
[zipcode=]충북 청주시 상당구 용암1동 2092∼2114 50122 ]
[zipcode=]충북 청주시 상당구 용암1동 2115∼3000 50123 ]
[zipcode=]충북 청주시 상당구 용암1동  50124 ]
[zipcode=]충북 청주시 상당구 용암2동 부영아파트 (101∼106동) 50125 ]
[zipcode=]충북 청주시 상당구 용암2동 세원한아름아파트 (101∼112동) 50126 ]
[zipcode=]충북 청주시 상당구 용암2동 용암무지개삼일아파트 (101∼107동) 50127 ]
[zipcode=]충북 청주시 상당구 용암2동 용암소라아파트 (101∼106동) 50128 ]
[zipcode=]충북 청주시 상당구 용암2동 425∼442 50129 ]
[zipcode=]충북 청주시 상당구 용암2동 1705∼2056 50130 ]
[zipcode=]충북 청주시 상당구 용암2동 2057∼2091 50131 ]
[zipcode=]충북 청주시 상당구 용암2동  50132 ]
[zipcode=]충북 청주시 상당구 용암동  50133 ]
[zipcode=]충북 청주시 상당구 용정동  50134 ]
[zipcode=]충북 청주시 상당구 우암동 상당구청  50135 ]
[zipcode=]충북 청주시 상당구 우암동 청주상당경찰서  50136 ]
[zipcode=]충북 청주시 상당구 우암동 1∼230 50137 ]
[zipcode=]충북 청주시 상당구 우암동 231∼382 50138 ]
[zipcode=]충북 청주시 상당구 우암동 383∼1300 50139 ]
[zipcode=]충북 청주시 상당구 우암동  50140 ]
[zipcode=]충북 청주시 상당구 운동동  50141 ]
[zipcode=]충북 청주시 상당구 월오동  50142 ]
[zipcode=]충북 청주시 상당구 율량동 KT충북본부  50143 ]
[zipcode=]충북 청주시 상당구 율량동 동양일보  50144 ]
[zipcode=]충북 청주시 상당구 율량동 두진백로그린타운  50145 ]
[zipcode=]충북 청주시 상당구 율량동 럭키아파트  50146 ]
[zipcode=]충북 청주시 상당구 율량동 삼성아파트  50147 ]
[zipcode=]충북 청주시 상당구 율량동 현대아파트  50148 ]
[zipcode=]충북 청주시 상당구 율량동 1∼300 50149 ]
[zipcode=]충북 청주시 상당구 율량동 301∼600 50150 ]
[zipcode=]충북 청주시 상당구 율량동 601∼900 50151 ]
[zipcode=]충북 청주시 상당구 율량동 901∼1200 50152 ]
[zipcode=]충북 청주시 상당구 율량동 1201∼1500 50153 ]
[zipcode=]충북 청주시 상당구 율량동 1501∼2000 50154 ]
[zipcode=]충북 청주시 상당구 율량동  50155 ]
[zipcode=]충북 청주시 상당구 정북동  50156 ]
[zipcode=]충북 청주시 상당구 정상동  50157 ]
[zipcode=]충북 청주시 상당구 정하동  50158 ]
[zipcode=]충북 청주시 상당구 주성동 충북지방경찰청  50159 ]
[zipcode=]충북 청주시 상당구 주성동  50160 ]
[zipcode=]충북 청주시 상당구 주중동  50161 ]
[zipcode=]충북 청주시 상당구 지북동  50162 ]
[zipcode=]충북 청주시 상당구 탑동 현대아파트  50163 ]
[zipcode=]충북 청주시 상당구 탑동  50164 ]
[zipcode=]충북 청주시 상당구 평촌동  50165 ]
[zipcode=]충북 청주시 상당구 청주우체국사서함  50166 ]
[zipcode=]충북 청주시 흥덕구 가경동 가경e-편한세상아파트 (501∼509동) 50167 ]
[zipcode=]충북 청주시 흥덕구 가경동 가경대원칸타빌아파트 (401∼408동) 50168 ]
[zipcode=]충북 청주시 흥덕구 가경동 가경뜨란채아파트 (701∼805동) 50169 ]
[zipcode=]충북 청주시 흥덕구 가경동 가경선광로즈웰아파트 (101∼106동) 50170 ]
[zipcode=]충북 청주시 흥덕구 가경동 가경한라비발디아파트 (301∼308동) 50171 ]
[zipcode=]충북 청주시 흥덕구 가경동 가경호반베르디움아파트 (201∼210동) 50172 ]
[zipcode=]충북 청주시 흥덕구 가경동 가로수마을휴먼시아아파트 (101∼109동) 50173 ]
[zipcode=]충북 청주시 흥덕구 가경동 대림아파트  50174 ]
[zipcode=]충북 청주시 흥덕구 가경동 대우푸르지오아파트 (501∼509동) 50175 ]
[zipcode=]충북 청주시 흥덕구 가경동 대원아파트  50176 ]
[zipcode=]충북 청주시 흥덕구 가경동 덕일아파트  50177 ]
[zipcode=]충북 청주시 흥덕구 가경동 동부아파트  50178 ]
[zipcode=]충북 청주시 흥덕구 가경동 드림플러스  50179 ]
[zipcode=]충북 청주시 흥덕구 가경동 벽산아파트  50180 ]
[zipcode=]충북 청주시 흥덕구 가경동 삼일아파트  50181 ]
[zipcode=]충북 청주시 흥덕구 가경동 세원2차아파트 (101∼104동) 50182 ]
[zipcode=]충북 청주시 흥덕구 가경동 세원3차아파트 (101∼109동) 50183 ]
[zipcode=]충북 청주시 흥덕구 가경동 수정아파트  50184 ]
[zipcode=]충북 청주시 흥덕구 가경동 신라아파트  50185 ]
[zipcode=]충북 청주시 흥덕구 가경동 주공아파트 (101∼207동) 50186 ]
[zipcode=]충북 청주시 흥덕구 가경동 주공아파트 (601∼607동) 50187 ]
[zipcode=]충북 청주시 흥덕구 가경동 진로아파트  50188 ]
[zipcode=]충북 청주시 흥덕구 가경동 청주문화방송(주)  50189 ]
[zipcode=]충북 청주시 흥덕구 가경동 형석1차아파트 (101∼105동) 50190 ]
[zipcode=]충북 청주시 흥덕구 가경동 형석2차아파트 (201∼205동) 50191 ]
[zipcode=]충북 청주시 흥덕구 가경동 효성아파트  50192 ]
[zipcode=]충북 청주시 흥덕구 가경동 1∼1188 50193 ]
[zipcode=]충북 청주시 흥덕구 가경동 1189∼1450 50194 ]
[zipcode=]충북 청주시 흥덕구 가경동 1451∼1509 50195 ]
[zipcode=]충북 청주시 흥덕구 가경동 1510∼1750 50196 ]
[zipcode=]충북 청주시 흥덕구 가경동  50197 ]
[zipcode=]충북 청주시 흥덕구 강서동 1∼1508 50198 ]
[zipcode=]충북 청주시 흥덕구 강서동  50199 ]
[zipcode=]충북 청주시 흥덕구 개신동 개신뜨란채아파트 (201∼211동) 50200 ]
[zipcode=]충북 청주시 흥덕구 개신동 대우푸르지오아파트 (401∼409동) 50201 ]
[zipcode=]충북 청주시 흥덕구 개신동 두산아파트  50202 ]
[zipcode=]충북 청주시 흥덕구 개신동 두진아파트  50203 ]
[zipcode=]충북 청주시 흥덕구 개신동 삼익1차아파트 (101∼107동) 50204 ]
[zipcode=]충북 청주시 흥덕구 개신동 삼익2차아파트 (201∼206동) 50205 ]
[zipcode=]충북 청주시 흥덕구 개신동 송학아파트  50206 ]
[zipcode=]충북 청주시 흥덕구 개신동 주공1단지아파트 (101∼112동) 50207 ]
[zipcode=]충북 청주시 흥덕구 개신동 주공아파트 (301∼306동) 50208 ]
[zipcode=]충북 청주시 흥덕구 개신동 충북대학교  50209 ]
[zipcode=]충북 청주시 흥덕구 개신동 충북대학교병원  50210 ]
[zipcode=]충북 청주시 흥덕구 개신동 한국방송공사청주방송총국  50211 ]
[zipcode=]충북 청주시 흥덕구 개신동 한진아파트  50212 ]
[zipcode=]충북 청주시 흥덕구 개신동 현대아파트  50213 ]
[zipcode=]충북 청주시 흥덕구 개신동 1∼446 50214 ]
[zipcode=]충북 청주시 흥덕구 개신동 447∼850 50215 ]
[zipcode=]충북 청주시 흥덕구 개신동  50216 ]
