[zipcode=]울산 남구 개운동  18397 ]
[zipcode=]울산 남구 고사동  18398 ]
[zipcode=]울산 남구 남화동  18399 ]
[zipcode=]울산 남구 신정2동 1262∼1265 18529 ]
[zipcode=]울산 남구 신정2동 1266∼1284 18530 ]
[zipcode=]울산 남구 신정2동 1599∼1646 18531 ]
[zipcode=]울산 남구 신정2동 1647∼1819 18532 ]
[zipcode=]울산 남구 신정2동  18533 ]
[zipcode=]울산 남구 신정3동 강변센트럴하이츠 (101∼110동) 18534 ]
[zipcode=]울산 남구 신정3동 미래에셋빌딩  18535 ]
[zipcode=]울산 남구 신정3동 울산공업고등학교  18536 ]
[zipcode=]울산 남구 신정3동 울산상공회의소  18537 ]
[zipcode=]울산 남구 신정3동 울산제일교회  18538 ]
[zipcode=]울산 남구 신정3동 167∼192 18539 ]
[zipcode=]울산 남구 신정3동 193∼235 18540 ]
[zipcode=]울산 남구 신정3동 239 18541 ]
[zipcode=]울산 남구 신정3동 252 18542 ]
[zipcode=]울산 남구 신정3동 276∼335 18543 ]
[zipcode=]울산 남구 신정3동 363∼403 18544 ]
[zipcode=]울산 남구 신정3동 404∼421 18545 ]
[zipcode=]울산 남구 신정3동 422∼451 18546 ]
[zipcode=]울산 남구 신정3동 452∼516 18547 ]
[zipcode=]울산 남구 신정3동 536∼546 18548 ]
[zipcode=]울산 남구 신정3동 550∼554 18549 ]
[zipcode=]울산 남구 신정3동 578∼598 18550 ]
[zipcode=]울산 남구 신정3동 683 18551 ]
[zipcode=]울산 남구 신정3동  18552 ]
[zipcode=]울산 남구 신정4동 신성미소지움1단지아파트 (101∼106동) 18553 ]
[zipcode=]울산 남구 신정4동 신성미소지움2단지아파트 (201∼210동) 18554 ]
[zipcode=]울산 남구 신정4동 프라자빌딩  18555 ]
[zipcode=]울산 남구 신정4동 한라백조아파트  18556 ]
[zipcode=]울산 남구 신정4동 현대홈타운아파트 (301∼404동) 18557 ]
[zipcode=]울산 남구 신정4동 효천빌딩  18558 ]
[zipcode=]울산 남구 신정4동 684 18559 ]
[zipcode=]울산 남구 신정4동 706∼707 18560 ]
[zipcode=]울산 남구 신정4동 720∼772 18561 ]
[zipcode=]울산 남구 신정4동 773∼801 18562 ]
[zipcode=]울산 남구 신정4동 802∼873 18563 ]
[zipcode=]울산 남구 신정4동 874∼879 18564 ]
[zipcode=]울산 남구 신정4동 880∼881 18565 ]
[zipcode=]울산 남구 신정4동 882∼921 18566 ]
[zipcode=]울산 남구 신정4동 930∼963 18567 ]
[zipcode=]울산 남구 신정4동 1093∼1097 18568 ]
[zipcode=]울산 남구 신정4동 1144 18569 ]
[zipcode=]울산 남구 신정4동 1232∼1233 18570 ]
[zipcode=]울산 남구 신정4동 1820∼1838 18571 ]
[zipcode=]울산 남구 신정4동  18572 ]
[zipcode=]울산 남구 신정5동 울산병원  18573 ]
[zipcode=]울산 남구 신정5동 한국전력공사울산지점  18574 ]
[zipcode=]울산 남구 신정5동 1∼166 18575 ]
[zipcode=]울산 남구 신정5동 240∼247 18576 ]
[zipcode=]울산 남구 신정5동 250∼251 18577 ]
[zipcode=]울산 남구 신정5동 253∼274 18578 ]
[zipcode=]울산 남구 신정5동 336∼362 18579 ]
[zipcode=]울산 남구 신정5동  18580 ]
[zipcode=]울산 남구 신정동  18581 ]
[zipcode=]울산 남구 야음동 KT남울산지사  18582 ]
[zipcode=]울산 남구 야음동 SK스포츠센터  18583 ]
[zipcode=]울산 남구 야음동 동부아파트  18584 ]
[zipcode=]울산 남구 야음동 롯데캐슬1단지아파트 (101∼115동) 18585 ]
[zipcode=]울산 남구 야음동 롯데캐슬2단지아파트 (201∼214동) 18586 ]
[zipcode=]울산 남구 야음동 삼익세라믹아파트  18587 ]
[zipcode=]울산 남구 야음동 신선아파트  18588 ]
[zipcode=]울산 남구 야음동 신정현대홈타운아파트 (101∼209동) 18589 ]
[zipcode=]울산 남구 야음동 쌍용스윗닷홈아파트  18590 ]
[zipcode=]울산 남구 야음동 우방유화아파트  18591 ]
[zipcode=]울산 남구 야음동 울산세관  18592 ]
[zipcode=]울산 남구 야음동 일동미라주아파트 (101∼107동) 18593 ]
[zipcode=]울산 남구 야음동 주공아파트 (201∼216동) 18594 ]
[zipcode=]울산 남구 야음동 1∼297 18595 ]
[zipcode=]울산 남구 야음동 298∼356 18596 ]
[zipcode=]울산 남구 야음동 358∼360 18597 ]
[zipcode=]울산 남구 야음동 361∼369 18598 ]
[zipcode=]울산 남구 야음동 370∼372 18599 ]
[zipcode=]울산 남구 야음동 373∼382 18600 ]
[zipcode=]울산 남구 야음동 383∼384 18601 ]
[zipcode=]울산 남구 야음동 385∼387 18602 ]
[zipcode=]울산 남구 야음동 388∼399 18603 ]
[zipcode=]울산 남구 야음동 400∼401 18604 ]
[zipcode=]울산 남구 야음동 402 18605 ]
[zipcode=]울산 남구 야음동 403∼456 18606 ]
[zipcode=]울산 남구 야음동 457∼599 18607 ]
[zipcode=]울산 남구 야음동 600∼696 18608 ]
[zipcode=]울산 남구 야음동 697∼699 18609 ]
[zipcode=]울산 남구 야음동 700∼744 18610 ]
[zipcode=]울산 남구 야음동 745∼788 18611 ]
[zipcode=]울산 남구 야음동 789 18612 ]
[zipcode=]울산 남구 야음동 790∼792 18613 ]
[zipcode=]울산 남구 야음동 793∼806 18614 ]
[zipcode=]울산 남구 야음동 807 18615 ]
[zipcode=]울산 남구 야음동 808∼814 18616 ]
[zipcode=]울산 남구 야음동 815∼816 18617 ]
[zipcode=]울산 남구 야음동 817∼827 18618 ]
[zipcode=]울산 남구 야음동 828 18619 ]
[zipcode=]울산 남구 야음동 829∼865 18620 ]
[zipcode=]울산 남구 야음동 866∼970 18621 ]
[zipcode=]울산 남구 야음동 산1∼126 18622 ]
[zipcode=]울산 남구 야음동  18623 ]
[zipcode=]울산 남구 여천동  18624 ]
[zipcode=]울산 남구 옥동 남울산교회  18625 ]
[zipcode=]울산 남구 옥동 대공원롯데인벤스가아파트 (101∼202동) 18626 ]
[zipcode=]울산 남구 옥동 대륙1차현대아파트 (101∼102동) 18627 ]
[zipcode=]울산 남구 옥동 대륙2차현대아파트 (101∼102동) 18628 ]
[zipcode=]울산 남구 옥동 도성아파트  18629 ]
[zipcode=]울산 남구 옥동 동덕현대아파트  18630 ]
[zipcode=]울산 남구 옥동 롯데인벤스로얄아파트 (101∼103동) 18631 ]
[zipcode=]울산 남구 옥동 부산지방노동청울산지청  18632 ]
[zipcode=]울산 남구 옥동 삼익아파트 (101∼103동) 18633 ]
[zipcode=]울산 남구 옥동 상아아파트  18634 ]
[zipcode=]울산 남구 옥동 상아파크  18635 ]
[zipcode=]울산 남구 옥동 서강아파트  18636 ]
[zipcode=]울산 남구 옥동 서광아파트  18637 ]
[zipcode=]울산 남구 옥동 옥동현대아파트  18638 ]
[zipcode=]울산 남구 옥동 울산남부도서관  18639 ]
[zipcode=]울산 남구 옥동 울산보훈지청  18640 ]
[zipcode=]울산 남구 옥동 울산지방검찰청  18641 ]
[zipcode=]울산 남구 옥동 울산지방법원  18642 ]
[zipcode=]울산 남구 옥동 울주군청  18643 ]
[zipcode=]울산 남구 옥동 한국수자원공사울산권관리단  18644 ]
[zipcode=]울산 남구 옥동 1∼161 18645 ]
[zipcode=]울산 남구 옥동 162∼177 18646 ]
[zipcode=]울산 남구 옥동 178∼182 18647 ]
[zipcode=]울산 남구 옥동 183∼999 18648 ]
[zipcode=]울산 남구 옥동 1000∼1200 18649 ]
[zipcode=]울산 남구 옥동 1201∼1500 18650 ]
[zipcode=]울산 남구 옥동  18651 ]
[zipcode=]울산 남구 용연동  18652 ]
[zipcode=]울산 남구 용잠동  18653 ]
[zipcode=]울산 남구 장생포동  18654 ]
[zipcode=]울산 남구 황성동  18655 ]
[zipcode=]울산 남구 남울산우체국사서함  18656 ]
[zipcode=]울산 동구 대송동 대송현대아파트  18657 ]
[zipcode=]울산 동구 대송동 동구청  18658 ]
[zipcode=]울산 동구 대송동  18659 ]
[zipcode=]울산 동구 동부동 현대패밀리동부아파트  18660 ]
[zipcode=]울산 동구 동부동 1∼193 18661 ]
[zipcode=]울산 동구 동부동 194∼257 18662 ]
[zipcode=]울산 동구 동부동 258∼262 18663 ]
[zipcode=]울산 동구 동부동 263∼271 18664 ]
[zipcode=]울산 동구 동부동 272∼672 18665 ]
[zipcode=]울산 동구 동부동  18666 ]
[zipcode=]울산 동구 미포동 1∼6 18667 ]
[zipcode=]울산 동구 방어동 (주)KCC  18668 ]
[zipcode=]울산 동구 방어동 꽃바위현대아파트 (101∼104동) 18669 ]
[zipcode=]울산 동구 방어동 문현아이파크아파트 (101∼104동) 18670 ]
[zipcode=]울산 동구 방어동 풍성비치아파트 (1동) 18671 ]
[zipcode=]울산 동구 방어동 현대미포조선  18672 ]
[zipcode=]울산 동구 방어동 현대비치아파트  18673 ]
[zipcode=]울산 동구 방어동 1∼199 18674 ]
[zipcode=]울산 동구 방어동 200∼399 18675 ]
[zipcode=]울산 동구 방어동 400∼469 18676 ]
[zipcode=]울산 동구 방어동 470∼504 18677 ]
[zipcode=]울산 동구 방어동 505∼589 18678 ]
[zipcode=]울산 동구 방어동 590∼899 18679 ]
[zipcode=]울산 동구 방어동 900∼926 18680 ]
[zipcode=]울산 동구 방어동 927∼934 18681 ]
[zipcode=]울산 동구 방어동 935∼971 18682 ]
[zipcode=]울산 동구 방어동 972∼987 18683 ]
[zipcode=]울산 동구 방어동 988∼1004 18684 ]
[zipcode=]울산 동구 방어동 1005∼1015 18685 ]
[zipcode=]울산 동구 방어동 1016∼1023 18686 ]
[zipcode=]울산 동구 방어동 1024∼1076 18687 ]
[zipcode=]울산 동구 방어동 1077∼1101 18688 ]
[zipcode=]울산 동구 방어동 1102∼1129 18689 ]
[zipcode=]울산 동구 방어동 1130∼1143 18690 ]
[zipcode=]울산 동구 방어동 1144∼1157 18691 ]
[zipcode=]울산 동구 방어동 1158∼1165 18692 ]
[zipcode=]울산 동구 방어동  18693 ]
[zipcode=]울산 동구 서부동 성원상떼빌아파트 (101∼115동) 18694 ]
[zipcode=]울산 동구 서부동 현대백화점  18695 ]
[zipcode=]울산 동구 서부동 현대패밀리명덕아파트  18696 ]
[zipcode=]울산 동구 서부동 현대패밀리서부아파트  18697 ]
[zipcode=]울산 동구 서부동 1∼100 18698 ]
[zipcode=]울산 동구 서부동 101∼278 18699 ]
[zipcode=]울산 동구 서부동 279∼314 18700 ]
[zipcode=]울산 동구 서부동 315∼344 18701 ]
[zipcode=]울산 동구 서부동 345∼494 18702 ]
[zipcode=]울산 동구 서부동 495∼999 18703 ]
[zipcode=]울산 동구 서부동  18704 ]
[zipcode=]울산 동구 일산동 1∼499 18705 ]
[zipcode=]울산 동구 일산동 500∼799 18706 ]
[zipcode=]울산 동구 일산동 800∼913 18707 ]
[zipcode=]울산 동구 일산동 914∼980 18708 ]
[zipcode=]울산 동구 일산동  18709 ]
[zipcode=]울산 동구 전하1동 대경넥스빌아파트 (101∼106동) 18710 ]
[zipcode=]울산 동구 전하1동 울산대학교병원  18711 ]
[zipcode=]울산 동구 전하1동 현대중공업  18712 ]
[zipcode=]울산 동구 전하1동 현대홈타운아파트 (101∼107동) 18713 ]
[zipcode=]울산 동구 전하1동 1∼299 18714 ]
[zipcode=]울산 동구 전하1동 300∼390 18715 ]
[zipcode=]울산 동구 전하1동 394∼548 18716 ]
[zipcode=]울산 동구 전하1동 549∼599 18717 ]
[zipcode=]울산 동구 전하1동 741∼768 18718 ]
[zipcode=]울산 동구 전하1동  18719 ]
[zipcode=]울산 동구 전하2동 동울산우체국  18720 ]
[zipcode=]울산 동구 전하2동 일산아파트  18721 ]
[zipcode=]울산 동구 전하2동 전하푸르지오아파트 (101∼204동) 18722 ]
[zipcode=]울산 동구 전하2동 391∼393 18723 ]
[zipcode=]울산 동구 전하2동 600∼660 18724 ]
[zipcode=]울산 동구 전하2동 661∼669 18725 ]
[zipcode=]울산 동구 전하2동 670∼675 18726 ]
[zipcode=]울산 동구 전하2동 676∼692 18727 ]
[zipcode=]울산 동구 전하2동 693∼740 18728 ]
[zipcode=]울산 동구 전하2동  18729 ]
[zipcode=]울산 동구 전하동  18730 ]
[zipcode=]울산 동구 주전동  18731 ]
[zipcode=]울산 동구 화정동 금강아파트 (201∼202동) 18732 ]
[zipcode=]울산 동구 화정동 벽산우진아파트 (101∼102동) 18733 ]
[zipcode=]울산 동구 화정동 울산과학대학동부캠퍼스  18734 ]
[zipcode=]울산 동구 화정동 주공아파트  18735 ]
[zipcode=]울산 동구 화정동 현대목재아파트 (301∼303동) 18736 ]
[zipcode=]울산 동구 화정동 현대파라다이스아파트  18737 ]
[zipcode=]울산 동구 화정동 1∼136 18738 ]
[zipcode=]울산 동구 화정동 137∼158 18739 ]
[zipcode=]울산 동구 화정동 159∼599 18740 ]
[zipcode=]울산 동구 화정동 600∼606 18741 ]
[zipcode=]울산 동구 화정동 607∼631 18742 ]
[zipcode=]울산 동구 화정동 632∼654 18743 ]
[zipcode=]울산 동구 화정동 655∼843 18744 ]
[zipcode=]울산 동구 화정동 844∼850 18745 ]
[zipcode=]울산 동구 화정동 851∼940 18746 ]
[zipcode=]울산 동구 화정동  18747 ]
[zipcode=]울산 동구 동울산우체국사서함  18748 ]
[zipcode=]울산 북구 가대동  18749 ]
[zipcode=]울산 북구 구유동  18750 ]
[zipcode=]울산 북구 달천동 그린카운티  18751 ]
[zipcode=]울산 북구 달천동 달천공단  18752 ]
[zipcode=]울산 북구 달천동 달천아이파크아파트 (101∼114동) 18753 ]
[zipcode=]울산 북구 달천동 달천아이파크아파트 (201∼305동) 18754 ]
[zipcode=]울산 북구 달천동  18755 ]
[zipcode=]울산 북구 당사동  18756 ]
[zipcode=]울산 북구 대안동  18757 ]
[zipcode=]울산 북구 매곡동 대하그린파크아파트 (101∼103동) 18758 ]
[zipcode=]울산 북구 매곡동 매곡푸르지오1차아파트 (101∼111동) 18759 ]
[zipcode=]울산 북구 매곡동 매곡푸르지오2차아파트 (201∼205동) 18760 ]
[zipcode=]울산 북구 매곡동 월드메르디앙아파트1단지 (101∼113동) 18761 ]
[zipcode=]울산 북구 매곡동 월드메르디앙아파트2단지 (201∼210동) 18762 ]
[zipcode=]울산 북구 매곡동 현대아파트 (101∼107동) 18763 ]
[zipcode=]울산 북구 매곡동 현대으뜸아파트 (101∼104동) 18764 ]
[zipcode=]울산 북구 매곡동 현대파크맨션 (101∼104동) 18765 ]
[zipcode=]울산 북구 매곡동  18766 ]
[zipcode=]울산 북구 명촌동 주공아파트  18767 ]
[zipcode=]울산 북구 명촌동 평창리비에르1차아파트  18768 ]
[zipcode=]울산 북구 명촌동 평창리비에르2차아파트 (201∼223동) 18769 ]
[zipcode=]울산 북구 명촌동 평창리비에르3차아파트 (301∼313동) 18770 ]
[zipcode=]울산 북구 명촌동  18771 ]
[zipcode=]울산 북구 무룡동  18772 ]
[zipcode=]울산 북구 산하동  18773 ]
[zipcode=]울산 북구 상안동 쌍용아진아파트1차단지 (1∼15동) 18774 ]
[zipcode=]울산 북구 상안동 쌍용아진아파트2차단지 (1∼15동) 18775 ]
[zipcode=]울산 북구 상안동 쌍용아진아파트3차단지 (1∼13동) 18776 ]
[zipcode=]울산 북구 상안동 쌍용아진아파트4차단지 (1∼13동) 18777 ]
[zipcode=]울산 북구 상안동  18778 ]
[zipcode=]울산 북구 송정동  18779 ]
[zipcode=]울산 북구 시례동 1∼90 18780 ]
[zipcode=]울산 북구 시례동 91∼99 18781 ]
[zipcode=]울산 북구 시례동 100∼650 18782 ]
[zipcode=]울산 북구 시례동 산160 18783 ]
[zipcode=]울산 북구 시례동  18784 ]
[zipcode=]울산 북구 신명동  18785 ]
[zipcode=]울산 북구 신천동 극동스타클래스아파트 (101∼111동) 18786 ]
[zipcode=]울산 북구 신천동 무지개아파트  18787 ]
[zipcode=]울산 북구 신천동 문화청솔아파트 (101∼102동) 18788 ]
[zipcode=]울산 북구 신천동 성우현대아파트 (101∼103동) 18789 ]
[zipcode=]울산 북구 신천동 신동아파트 (1∼2동) 18790 ]
[zipcode=]울산 북구 신천동 신천엠코타운 (101∼109동) 18791 ]
[zipcode=]울산 북구 신천동 협성노블리스아파트  18792 ]
[zipcode=]울산 북구 신천동 1∼100 18793 ]
[zipcode=]울산 북구 신천동 101∼239 18794 ]
[zipcode=]울산 북구 신천동 240∼390 18795 ]
[zipcode=]울산 북구 신천동 391∼1000 18796 ]
[zipcode=]울산 북구 신천동  18797 ]
[zipcode=]울산 북구 신현동  18798 ]
[zipcode=]울산 북구 양정동 현대자동차  18799 ]
[zipcode=]울산 북구 양정동 현대자동차사택  18800 ]
[zipcode=]울산 북구 양정동 현대힐스테이트아파트 (101∼116동) 18801 ]
[zipcode=]울산 북구 양정동 산1∼99 18802 ]
[zipcode=]울산 북구 양정동 산100∼111 18803 ]
[zipcode=]울산 북구 양정동  18804 ]
[zipcode=]울산 북구 어물동  18805 ]
[zipcode=]울산 북구 연암동 벽산늘푸른아파트  18806 ]
[zipcode=]울산 북구 연암동 북구청  18807 ]
[zipcode=]울산 북구 연암동 성원아파트  18808 ]
[zipcode=]울산 북구 연암동 엘지진로아파트  18809 ]
[zipcode=]울산 북구 연암동 1∼99 18810 ]
[zipcode=]울산 북구 연암동 100∼589 18811 ]
[zipcode=]울산 북구 연암동 590∼1300 18812 ]
[zipcode=]울산 북구 연암동  18813 ]
[zipcode=]울산 북구 염포동 성원상떼빌아파트  18814 ]
[zipcode=]울산 북구 염포동 현대모비스  18815 ]
[zipcode=]울산 북구 염포동 현대하이스코  18816 ]
[zipcode=]울산 북구 염포동 1∼300 18817 ]
[zipcode=]울산 북구 염포동 301∼1010 18818 ]
[zipcode=]울산 북구 염포동  18819 ]
[zipcode=]울산 북구 정자동  18820 ]
[zipcode=]울산 북구 중산동 대암파크랜드아파트  18821 ]
[zipcode=]울산 북구 중산동 대암훼미리아파트 (101∼102동) 18822 ]
[zipcode=]울산 북구 중산동 백산아파트 (101∼102동) 18823 ]
[zipcode=]울산 북구 중산동 삼우아파트 (101∼102동) 18824 ]
[zipcode=]울산 북구 중산동 신한디아체아파트 (101∼207동) 18825 ]
[zipcode=]울산 북구 중산동 약수제일아파트 (가∼다동) 18826 ]
[zipcode=]울산 북구 중산동 이화제일그린파크  18827 ]
[zipcode=]울산 북구 중산동 이화한라동아아파트  18828 ]
[zipcode=]울산 북구 중산동 현대글로리아  18829 ]
[zipcode=]울산 북구 중산동 현대아파트  18830 ]
[zipcode=]울산 북구 중산동 1∼200 18831 ]
[zipcode=]울산 북구 중산동 201∼703 18832 ]
[zipcode=]울산 북구 중산동 704∼1109 18833 ]
[zipcode=]울산 북구 중산동 1110∼1185 18834 ]
[zipcode=]울산 북구 중산동 산47∼142 18835 ]
[zipcode=]울산 북구 중산동  18836 ]
[zipcode=]울산 북구 진장동 울산우편집중국  18837 ]
[zipcode=]울산 북구 진장동  18838 ]
[zipcode=]울산 북구 창평동 1∼750 18839 ]
[zipcode=]울산 북구 창평동 751∼973 18840 ]
[zipcode=]울산 북구 창평동 974∼1295 18841 ]
[zipcode=]울산 북구 창평동  18842 ]
[zipcode=]울산 북구 천곡동 대동아파트  18843 ]
[zipcode=]울산 북구 천곡동 삼성코아루아파트 (101∼119동) 18844 ]
[zipcode=]울산 북구 천곡동 우방아파트 (101∼104동) 18845 ]
[zipcode=]울산 북구 천곡동 원동현대아파트 (101∼104동) 18846 ]
[zipcode=]울산 북구 천곡동 일지리버아파트 (101동) 18847 ]
[zipcode=]울산 북구 천곡동 천곡2차코아루아파트 (201∼205동) 18848 ]
[zipcode=]울산 북구 천곡동  18849 ]
