[zipcode=]대전 대덕구 갈전동  17457 ]
[zipcode=]대전 대덕구 신탄진동  17540 ]
[zipcode=]대전 대덕구 연축동 주공아파트  17541 ]
[zipcode=]대전 대덕구 연축동 한국수자원공사  17542 ]
[zipcode=]대전 대덕구 연축동  17543 ]
[zipcode=]대전 대덕구 오정동 대덕구청  17544 ]
[zipcode=]대전 대덕구 오정동 삼익양지마을아파트  17545 ]
[zipcode=]대전 대덕구 오정동 신동아아파트  17546 ]
[zipcode=]대전 대덕구 오정동 우성빌딩  17547 ]
[zipcode=]대전 대덕구 오정동 한남대학교  17548 ]
[zipcode=]대전 대덕구 오정동 1∼93 17549 ]
[zipcode=]대전 대덕구 오정동 94∼171 17550 ]
[zipcode=]대전 대덕구 오정동 172∼230 17551 ]
[zipcode=]대전 대덕구 오정동 231∼290 17552 ]
[zipcode=]대전 대덕구 오정동 291∼371 17553 ]
[zipcode=]대전 대덕구 오정동 372∼389 17554 ]
[zipcode=]대전 대덕구 오정동 390∼478 17555 ]
[zipcode=]대전 대덕구 오정동 479∼500 17556 ]
[zipcode=]대전 대덕구 오정동 501∼800 17557 ]
[zipcode=]대전 대덕구 오정동  17558 ]
[zipcode=]대전 대덕구 와동 주공아파트  17559 ]
[zipcode=]대전 대덕구 와동 현대아파트  17560 ]
[zipcode=]대전 대덕구 와동  17561 ]
[zipcode=]대전 대덕구 용호동  17562 ]
[zipcode=]대전 대덕구 읍내동 백송아파트  17563 ]
[zipcode=]대전 대덕구 읍내동 현대아파트  17564 ]
[zipcode=]대전 대덕구 읍내동 1∼200 17565 ]
[zipcode=]대전 대덕구 읍내동 201∼300 17566 ]
[zipcode=]대전 대덕구 읍내동 301∼600 17567 ]
[zipcode=]대전 대덕구 읍내동  17568 ]
[zipcode=]대전 대덕구 이현동  17569 ]
[zipcode=]대전 대덕구 장동  17570 ]
[zipcode=]대전 대덕구 중리동 영진로얄아파트  17571 ]
[zipcode=]대전 대덕구 중리동 1∼130 17572 ]
[zipcode=]대전 대덕구 중리동 131∼210 17573 ]
[zipcode=]대전 대덕구 중리동 211∼300 17574 ]
[zipcode=]대전 대덕구 중리동 301∼400 17575 ]
[zipcode=]대전 대덕구 중리동 401∼438 17576 ]
[zipcode=]대전 대덕구 중리동 439∼600 17577 ]
[zipcode=]대전 대덕구 중리동  17578 ]
[zipcode=]대전 대덕구 평촌동 KT&G  17579 ]
[zipcode=]대전 대덕구 평촌동  17580 ]
[zipcode=]대전 대덕구 황호동  17581 ]
[zipcode=]대전 대덕구 대전대덕우체국사서함  17582 ]
[zipcode=]대전 동구 가양1동 명신빌딩  17583 ]
[zipcode=]대전 동구 가양1동 아침마을아파트 (101∼116동) 17584 ]
[zipcode=]대전 동구 가양1동 172∼295 17585 ]
[zipcode=]대전 동구 가양1동 296∼360 17586 ]
[zipcode=]대전 동구 가양1동 404∼415 17587 ]
[zipcode=]대전 동구 가양1동 419∼420 17588 ]
[zipcode=]대전 동구 가양1동 425∼448 17589 ]
[zipcode=]대전 동구 가양1동 449∼452 17590 ]
[zipcode=]대전 동구 가양1동 454∼599 17591 ]
[zipcode=]대전 동구 가양1동 656∼750 17592 ]
[zipcode=]대전 동구 가양1동  17593 ]
[zipcode=]대전 동구 가양2동 대전보건대학  17594 ]
[zipcode=]대전 동구 가양2동 대주파크빌아파트  17595 ]
[zipcode=]대전 동구 가양2동 동신아파트  17596 ]
[zipcode=]대전 동구 가양2동 신도아파트  17597 ]
[zipcode=]대전 동구 가양2동 에스에스빌딩  17598 ]
[zipcode=]대전 동구 가양2동 임광하이츠  17599 ]
[zipcode=]대전 동구 가양2동 한국폴리텍Ⅳ대학  17600 ]
[zipcode=]대전 동구 가양2동 한국화장품  17601 ]
[zipcode=]대전 동구 가양2동 1∼13 17602 ]
[zipcode=]대전 동구 가양2동 14∼46 17603 ]
[zipcode=]대전 동구 가양2동 47∼171 17604 ]
[zipcode=]대전 동구 가양2동 361∼399 17605 ]
[zipcode=]대전 동구 가양2동 400∼403 17606 ]
[zipcode=]대전 동구 가양2동 416∼418 17607 ]
[zipcode=]대전 동구 가양2동 421∼424 17608 ]
[zipcode=]대전 동구 가양2동 453 17609 ]
[zipcode=]대전 동구 가양2동 600∼647 17610 ]
[zipcode=]대전 동구 가양2동 648∼655 17611 ]
[zipcode=]대전 동구 가양2동  17612 ]
[zipcode=]대전 동구 가양동  17613 ]
[zipcode=]대전 동구 가오동 동구청  17614 ]
[zipcode=]대전 동구 가오동 은어송마을1단지아파트 (101∼108동) 17615 ]
[zipcode=]대전 동구 가오동 은어송마을3단지아파트 (301∼312동) 17616 ]
[zipcode=]대전 동구 가오동 은어송마을4단지아파트 (401∼406동) 17617 ]
[zipcode=]대전 동구 가오동 은어송마을5단지아파트 (501∼508동) 17618 ]
[zipcode=]대전 동구 가오동 은어송마을6단지아파트 (601∼607동) 17619 ]
[zipcode=]대전 동구 가오동 주공아파트  17620 ]
[zipcode=]대전 동구 가오동  17621 ]
[zipcode=]대전 동구 구도동  17622 ]
[zipcode=]대전 동구 낭월동 남대전e편한세상아파트 (101∼111동) 17623 ]
[zipcode=]대전 동구 낭월동 산내주공아파트  17624 ]
[zipcode=]대전 동구 낭월동 석천들아파트 (101∼115동) 17625 ]
[zipcode=]대전 동구 낭월동 오투그란데아파트 (101∼111동) 17626 ]
[zipcode=]대전 동구 낭월동  17627 ]
[zipcode=]대전 동구 내탑동  17628 ]
[zipcode=]대전 동구 대동 새들뫼휴먼시아1단지아파트 (101∼111동) 17629 ]
[zipcode=]대전 동구 대동 펜타뷰아파트 (101∼110동) 17630 ]
[zipcode=]대전 동구 대동 1∼65 17631 ]
[zipcode=]대전 동구 대동 66 17632 ]
[zipcode=]대전 동구 대동 67∼82 17633 ]
[zipcode=]대전 동구 대동 83∼120 17634 ]
[zipcode=]대전 동구 대동 121∼144 17635 ]
[zipcode=]대전 동구 대동 145∼179 17636 ]
[zipcode=]대전 동구 대동 180∼191 17637 ]
[zipcode=]대전 동구 대동 192∼193 17638 ]
[zipcode=]대전 동구 대동 194∼202 17639 ]
[zipcode=]대전 동구 대동 203∼211 17640 ]
[zipcode=]대전 동구 대동 212∼335 17641 ]
[zipcode=]대전 동구 대동 336∼400 17642 ]
[zipcode=]대전 동구 대동 401∼402 17643 ]
[zipcode=]대전 동구 대동 403∼500 17644 ]
[zipcode=]대전 동구 대동  17645 ]
[zipcode=]대전 동구 대별동  17646 ]
[zipcode=]대전 동구 대성동 삼익아파트  17647 ]
[zipcode=]대전 동구 대성동 은어송마을2단지아파트 (201∼216동) 17648 ]
[zipcode=]대전 동구 대성동  17649 ]
[zipcode=]대전 동구 마산동  17650 ]
[zipcode=]대전 동구 비룡동  17651 ]
[zipcode=]대전 동구 사성동  17652 ]
[zipcode=]대전 동구 삼괴동  17653 ]
[zipcode=]대전 동구 삼성동 국민건강보험공단대전지사  17654 ]
[zipcode=]대전 동구 삼성동 금성백조빌딩  17655 ]
[zipcode=]대전 동구 삼성동 삼성빌라맨션 (1∼2동) 17656 ]
[zipcode=]대전 동구 삼성동 삼성타운1단지아파트 (101∼105동) 17657 ]
[zipcode=]대전 동구 삼성동 삼성타운2단지아파트 (201∼203동) 17658 ]
[zipcode=]대전 동구 삼성동 한밭오피스텔  17659 ]
[zipcode=]대전 동구 삼성동 한밭자이아파트 (101∼113동) 17660 ]
[zipcode=]대전 동구 삼성동 1∼129 17661 ]
[zipcode=]대전 동구 삼성동 130∼149 17662 ]
[zipcode=]대전 동구 삼성동 150∼268 17663 ]
[zipcode=]대전 동구 삼성동 269∼296 17664 ]
[zipcode=]대전 동구 삼성동 297∼330 17665 ]
[zipcode=]대전 동구 삼성동 331∼550 17666 ]
[zipcode=]대전 동구 삼성동  17667 ]
[zipcode=]대전 동구 삼정동 대전도시철도판암사업소  17668 ]
[zipcode=]대전 동구 삼정동 성신원  17669 ]
[zipcode=]대전 동구 삼정동  17670 ]
[zipcode=]대전 동구 상소동  17671 ]
[zipcode=]대전 동구 성남동 대전한국병원  17672 ]
[zipcode=]대전 동구 성남동 석촌아파트 (101∼105동) 17673 ]
[zipcode=]대전 동구 성남동 스마트뷰아파트 (101∼112동) 17674 ]
[zipcode=]대전 동구 성남동 현대오피스텔  17675 ]
[zipcode=]대전 동구 성남동 효촌마을아파트  17676 ]
[zipcode=]대전 동구 성남동 1∼12 17677 ]
[zipcode=]대전 동구 성남동 13∼154 17678 ]
[zipcode=]대전 동구 성남동 155∼206 17679 ]
[zipcode=]대전 동구 성남동 207∼504 17680 ]
[zipcode=]대전 동구 성남동 505∼600 17681 ]
[zipcode=]대전 동구 성남동  17682 ]
[zipcode=]대전 동구 세천동  17683 ]
[zipcode=]대전 동구 소제동 한국철도공사  17684 ]
[zipcode=]대전 동구 소제동  17685 ]
[zipcode=]대전 동구 소호동  17686 ]
[zipcode=]대전 동구 신상동  17687 ]
[zipcode=]대전 동구 신안동 한국철도시설공단  17688 ]
[zipcode=]대전 동구 신안동  17689 ]
[zipcode=]대전 동구 신촌동  17690 ]
[zipcode=]대전 동구 신하동  17691 ]
[zipcode=]대전 동구 신흥동 신흥마을아파트 (101∼109동) 17692 ]
[zipcode=]대전 동구 신흥동  17693 ]
[zipcode=]대전 동구 오동  17694 ]
[zipcode=]대전 동구 용계동  17695 ]
[zipcode=]대전 동구 용운동 꿈에그린아파트 (101∼114동) 17696 ]
[zipcode=]대전 동구 용운동 대전대학교  17697 ]
[zipcode=]대전 동구 용운동 마젤란21아파트 (1∼5동) 17698 ]
[zipcode=]대전 동구 용운동 삼정하이츠  17699 ]
[zipcode=]대전 동구 용운동 용방마을아파트  17700 ]
[zipcode=]대전 동구 용운동 주공아파트1단지 (101∼154동) 17701 ]
[zipcode=]대전 동구 용운동 주공아파트2단지 (201∼206동) 17702 ]
[zipcode=]대전 동구 용운동 1∼352 17703 ]
[zipcode=]대전 동구 용운동 353∼394 17704 ]
[zipcode=]대전 동구 용운동 395∼600 17705 ]
[zipcode=]대전 동구 용운동  17706 ]
[zipcode=]대전 동구 용전동 KT용전지점  17707 ]
[zipcode=]대전 동구 용전동 고속버스터미널  17708 ]
[zipcode=]대전 동구 용전동 대전지방국토관리청  17709 ]
[zipcode=]대전 동구 용전동 삼우빌딩  17710 ]
[zipcode=]대전 동구 용전동 새피앙아파트  17711 ]
[zipcode=]대전 동구 용전동 (주)센티스  17712 ]
[zipcode=]대전 동구 용전동 시외버스터미널  17713 ]
[zipcode=]대전 동구 용전동 신동아아파트  17714 ]
[zipcode=]대전 동구 용전동 아남빌딩  17715 ]
[zipcode=]대전 동구 용전동 종근당빌딩  17716 ]
[zipcode=]대전 동구 용전동 크로바아파트  17717 ]
[zipcode=]대전 동구 용전동 한국전력공사충남본부  17718 ]
[zipcode=]대전 동구 용전동 한숲아파트  17719 ]
[zipcode=]대전 동구 용전동 1∼13 17720 ]
[zipcode=]대전 동구 용전동 14∼24 17721 ]
[zipcode=]대전 동구 용전동 25∼42 17722 ]
[zipcode=]대전 동구 용전동 43∼53 17723 ]
[zipcode=]대전 동구 용전동 54∼126 17724 ]
[zipcode=]대전 동구 용전동 127∼145 17725 ]
[zipcode=]대전 동구 용전동 146∼176 17726 ]
[zipcode=]대전 동구 용전동 177∼300 17727 ]
[zipcode=]대전 동구 용전동  17728 ]
[zipcode=]대전 동구 원동 대전우체국  17729 ]
[zipcode=]대전 동구 원동 대전중앙시장  17730 ]
[zipcode=]대전 동구 원동  17731 ]
[zipcode=]대전 동구 이사동  17732 ]
[zipcode=]대전 동구 인동 어진마을아파트 (101∼109동) 17733 ]
[zipcode=]대전 동구 인동 현대아파트  17734 ]
[zipcode=]대전 동구 인동 1∼178 17735 ]
[zipcode=]대전 동구 인동 179∼350 17736 ]
[zipcode=]대전 동구 인동  17737 ]
[zipcode=]대전 동구 자양동 동아아파트  17738 ]
[zipcode=]대전 동구 자양동 우송공업대학  17739 ]
[zipcode=]대전 동구 자양동 우송대학교  17740 ]
[zipcode=]대전 동구 자양동 우송정보대학  17741 ]
[zipcode=]대전 동구 자양동 1∼59 17742 ]
[zipcode=]대전 동구 자양동 60∼79 17743 ]
[zipcode=]대전 동구 자양동 80∼86 17744 ]
[zipcode=]대전 동구 자양동 87∼150 17745 ]
[zipcode=]대전 동구 자양동 151∼219 17746 ]
[zipcode=]대전 동구 자양동 220∼400 17747 ]
[zipcode=]대전 동구 자양동  17748 ]
[zipcode=]대전 동구 장척동  17749 ]
[zipcode=]대전 동구 정동 대전객화차사무소  17750 ]
[zipcode=]대전 동구 정동 대전기관차사무소  17751 ]
[zipcode=]대전 동구 정동 대전보선사무소  17752 ]
[zipcode=]대전 동구 정동  17753 ]
[zipcode=]대전 동구 주산동  17754 ]
[zipcode=]대전 동구 주촌동  17755 ]
[zipcode=]대전 동구 중동 구지하상가  17756 ]
[zipcode=]대전 동구 중동 충일금고빌딩  17757 ]
[zipcode=]대전 동구 중동  17758 ]
[zipcode=]대전 동구 직동  17759 ]
[zipcode=]대전 동구 천동 주공아파트  17760 ]
[zipcode=]대전 동구 천동 휴먼시아1단지아파트 (101∼109동) 17761 ]
[zipcode=]대전 동구 천동 휴먼시아2단지아파트 (201∼209동) 17762 ]
[zipcode=]대전 동구 천동  17763 ]
[zipcode=]대전 동구 추동  17764 ]
[zipcode=]대전 동구 판암1동 주공아파트1단지 (101∼108동) 17765 ]
[zipcode=]대전 동구 판암1동 주공아파트2단지 (201∼211동) 17766 ]
[zipcode=]대전 동구 판암1동 주공아파트3단지 (301∼303동) 17767 ]
[zipcode=]대전 동구 판암1동 1∼482 17768 ]
[zipcode=]대전 동구 판암1동  17769 ]
[zipcode=]대전 동구 판암2동 주공아파트4단지 (401∼415동) 17770 ]
[zipcode=]대전 동구 판암2동 주공아파트5단지 (501∼510동) 17771 ]
[zipcode=]대전 동구 판암2동 주공아파트6단지 (601∼603동) 17772 ]
[zipcode=]대전 동구 판암2동 483∼499 17773 ]
[zipcode=]대전 동구 판암2동 500∼900 17774 ]
[zipcode=]대전 동구 판암2동  17775 ]
[zipcode=]대전 동구 판암동  17776 ]
[zipcode=]대전 동구 하소동  17777 ]
[zipcode=]대전 동구 홍도동 경성아파트  17778 ]
[zipcode=]대전 동구 홍도동 시영아파트  17779 ]
[zipcode=]대전 동구 홍도동 청룡아파트  17780 ]
[zipcode=]대전 동구 홍도동 파밀리에아파트 (101∼113동) 17781 ]
[zipcode=]대전 동구 홍도동 현암아파트  17782 ]
[zipcode=]대전 동구 홍도동 홍도아파트  17783 ]
[zipcode=]대전 동구 홍도동 1∼49 17784 ]
[zipcode=]대전 동구 홍도동 50∼92 17785 ]
[zipcode=]대전 동구 홍도동 93∼106 17786 ]
[zipcode=]대전 동구 홍도동 107∼284 17787 ]
[zipcode=]대전 동구 홍도동  17788 ]
[zipcode=]대전 동구 효동 TJB대전방송국  17789 ]
[zipcode=]대전 동구 효동 현대아파트  17790 ]
[zipcode=]대전 동구 효동  17791 ]
[zipcode=]대전 동구 효평동  17792 ]
[zipcode=]대전 동구 대전우체국사서함  17793 ]
[zipcode=]대전 서구 가수원동 건양대학교관저캠퍼스  17794 ]
[zipcode=]대전 서구 가수원동 건양대학교부속병원  17795 ]
[zipcode=]대전 서구 가수원동 계룡아파트  17796 ]
[zipcode=]대전 서구 가수원동 은아아파트  17797 ]
[zipcode=]대전 서구 가수원동 1∼531 17798 ]
[zipcode=]대전 서구 가수원동 532∼762 17799 ]
[zipcode=]대전 서구 가수원동 763∼1100 17800 ]
[zipcode=]대전 서구 가수원동  17801 ]
[zipcode=]대전 서구 가장동 삼성래미안1단지아파트 (101∼117동) 17802 ]
[zipcode=]대전 서구 가장동 삼성래미안2단지아파트 (201∼210동) 17803 ]
[zipcode=]대전 서구 가장동 1∼48 17804 ]
[zipcode=]대전 서구 가장동 49∼220 17805 ]
[zipcode=]대전 서구 가장동  17806 ]
[zipcode=]대전 서구 갈마1동 갈마아파트  17807 ]
[zipcode=]대전 서구 갈마1동 대전일보사  17808 ]
[zipcode=]대전 서구 갈마1동 1∼295 17809 ]
[zipcode=]대전 서구 갈마1동 296∼307 17810 ]
[zipcode=]대전 서구 갈마1동 315∼338 17811 ]
[zipcode=]대전 서구 갈마1동 354∼360 17812 ]
[zipcode=]대전 서구 갈마1동 363∼393 17813 ]
[zipcode=]대전 서구 갈마1동 407∼908 17814 ]
[zipcode=]대전 서구 갈마1동 1463∼1470 17815 ]
[zipcode=]대전 서구 갈마1동  17816 ]
[zipcode=]대전 서구 갈마2동 동산아파트  17817 ]
[zipcode=]대전 서구 갈마2동 큰마을아파트 (101∼128동) 17818 ]
[zipcode=]대전 서구 갈마2동 308∼314 17819 ]
[zipcode=]대전 서구 갈마2동 339∼353 17820 ]
[zipcode=]대전 서구 갈마2동 361∼362 17821 ]
[zipcode=]대전 서구 갈마2동 394∼406 17822 ]
[zipcode=]대전 서구 갈마2동 910∼1452 17823 ]
[zipcode=]대전 서구 갈마2동 1471∼1500 17824 ]
[zipcode=]대전 서구 갈마2동  17825 ]
[zipcode=]대전 서구 갈마동  17826 ]
[zipcode=]대전 서구 관저1동 대자연마을아파트  17827 ]
[zipcode=]대전 서구 관저1동 원앙마을1단지아파트 (101∼107동) 17828 ]
[zipcode=]대전 서구 관저1동 원앙마을2단지아파트 (201∼213동) 17829 ]
[zipcode=]대전 서구 관저1동 원앙마을4단지아파트 (401∼415동) 17830 ]
[zipcode=]대전 서구 관저1동 1∼115 17831 ]
[zipcode=]대전 서구 관저1동 416∼611 17832 ]
[zipcode=]대전 서구 관저1동 877∼900 17833 ]
[zipcode=]대전 서구 관저1동 1644∼2000 17834 ]
[zipcode=]대전 서구 관저1동 산1∼13 17835 ]
[zipcode=]대전 서구 관저1동  17836 ]
[zipcode=]대전 서구 관저2동 관저리슈빌아파트  17837 ]
[zipcode=]대전 서구 관저2동 구봉마을5단지아파트 (501∼513동) 17838 ]
[zipcode=]대전 서구 관저2동 구봉마을7단지아파트 (701∼709동) 17839 ]
[zipcode=]대전 서구 관저2동 구봉마을8단지아파트 (801∼820동) 17840 ]
[zipcode=]대전 서구 관저2동 구봉마을9단지아파트 (901∼912동) 17841 ]
[zipcode=]대전 서구 관저2동 느리울아파트11단지 (1101∼1114동) 17842 ]
[zipcode=]대전 서구 관저2동 느리울아파트12단지 (1201∼1209동) 17843 ]
[zipcode=]대전 서구 관저2동 느리울아파트13단지 (1301∼1308동) 17844 ]
[zipcode=]대전 서구 관저2동 신선마을아파트  17845 ]
[zipcode=]대전 서구 관저2동 116∼415 17846 ]
[zipcode=]대전 서구 관저2동 612∼875 17847 ]
[zipcode=]대전 서구 관저2동 901∼1143 17848 ]
[zipcode=]대전 서구 관저2동 1144∼1643 17849 ]
[zipcode=]대전 서구 관저2동 산30∼70 17850 ]
[zipcode=]대전 서구 관저2동  17851 ]
[zipcode=]대전 서구 관저동  17852 ]
[zipcode=]대전 서구 괴곡동  17853 ]
[zipcode=]대전 서구 괴정동 KT인재개발원  17854 ]
[zipcode=]대전 서구 괴정동 롯데백화점  17855 ]
[zipcode=]대전 서구 괴정동 한신아파트  17856 ]
[zipcode=]대전 서구 괴정동 1∼64 17857 ]
[zipcode=]대전 서구 괴정동 65∼109 17858 ]
[zipcode=]대전 서구 괴정동 110∼600 17859 ]
[zipcode=]대전 서구 괴정동  17860 ]
[zipcode=]대전 서구 내동 도로교통공단TBN대전교통방송  17861 ]
[zipcode=]대전 서구 내동 롯데아파트  17862 ]
[zipcode=]대전 서구 내동 맑은아침아파트  17863 ]
[zipcode=]대전 서구 내동 서우아파트  17864 ]
[zipcode=]대전 서구 내동 코오롱아파트  17865 ]
[zipcode=]대전 서구 내동 1∼149 17866 ]
[zipcode=]대전 서구 내동 150∼400 17867 ]
[zipcode=]대전 서구 내동  17868 ]
[zipcode=]대전 서구 도마1동 효성타운아파트  17869 ]
[zipcode=]대전 서구 도마1동 1∼98 17870 ]
[zipcode=]대전 서구 도마1동 134∼144 17871 ]
[zipcode=]대전 서구 도마1동 177∼187 17872 ]
[zipcode=]대전 서구 도마1동  17873 ]
[zipcode=]대전 서구 도마2동 경남아파트  17874 ]
[zipcode=]대전 서구 도마2동 대아아파트  17875 ]
[zipcode=]대전 서구 도마2동 배재대학교  17876 ]
[zipcode=]대전 서구 도마2동 양지타운아파트 (1∼9동) 17877 ]
[zipcode=]대전 서구 도마2동 99∼133 17878 ]
[zipcode=]대전 서구 도마2동 145∼176 17879 ]
[zipcode=]대전 서구 도마2동 188∼299 17880 ]
[zipcode=]대전 서구 도마2동 300∼399 17881 ]
[zipcode=]대전 서구 도마2동 400∼599 17882 ]
[zipcode=]대전 서구 도마2동  17883 ]
[zipcode=]대전 서구 도마동  17884 ]
[zipcode=]대전 서구 도안동 도안신도시수목토아파트 (101∼117동) 17885 ]
[zipcode=]대전 서구 도안동 목원대학교  17886 ]
[zipcode=]대전 서구 도안동 파렌하이트 (101∼112동) 17887 ]
[zipcode=]대전 서구 도안동  17888 ]
[zipcode=]대전 서구 둔산1동 LH대전충남지역본부  17889 ]
[zipcode=]대전 서구 둔산1동 대전고등검찰청  17890 ]
[zipcode=]대전 서구 둔산1동 대전고등법원  17891 ]
[zipcode=]대전 서구 둔산1동 대전광역시청  17892 ]
[zipcode=]대전 서구 둔산1동 대전둔산우체국  17893 ]
[zipcode=]대전 서구 둔산1동 대전지방검찰청  17894 ]
[zipcode=]대전 서구 둔산1동 대전지방경찰청  17895 ]
[zipcode=]대전 서구 둔산1동 대전지방법원  17896 ]
[zipcode=]대전 서구 둔산1동 목련아파트  17897 ]
[zipcode=]대전 서구 둔산1동 충청지방우정청  17898 ]
[zipcode=]대전 서구 둔산1동 크로바아파트  17899 ]
[zipcode=]대전 서구 둔산1동 특허법원  17900 ]
[zipcode=]대전 서구 둔산1동 한마루아파트  17901 ]
[zipcode=]대전 서구 둔산1동 햇님아파트  17902 ]
[zipcode=]대전 서구 둔산1동 1380∼1513 17903 ]
[zipcode=]대전 서구 둔산1동  17904 ]
[zipcode=]대전 서구 둔산2동 KT충남본부  17905 ]
[zipcode=]대전 서구 둔산2동 갤러리아타임월드  17906 ]
[zipcode=]대전 서구 둔산2동 꿈나무아파트  17907 ]
[zipcode=]대전 서구 둔산2동 녹원아파트  17908 ]
[zipcode=]대전 서구 둔산2동 대전광역시교육청  17909 ]
[zipcode=]대전 서구 둔산2동 대전둔산경찰서  17910 ]
[zipcode=]대전 서구 둔산2동 대전상공회의소  17911 ]
