[zipcode=]충남 계룡시 금암동 계룡시청  46703 ]
[zipcode=]충남 공주시 우성면 용봉리  46883 ]
[zipcode=]충남 공주시 우성면 죽당리  46884 ]
[zipcode=]충남 공주시 우성면 평목리  46885 ]
[zipcode=]충남 공주시 우성면 한천리  46886 ]
[zipcode=]충남 공주시 우성면  46887 ]
[zipcode=]충남 공주시 의당면 가산리  46888 ]
[zipcode=]충남 공주시 의당면 덕학리  46889 ]
[zipcode=]충남 공주시 의당면 도신리  46890 ]
[zipcode=]충남 공주시 의당면 두만리  46891 ]
[zipcode=]충남 공주시 의당면 수촌리  46892 ]
[zipcode=]충남 공주시 의당면 오인리  46893 ]
[zipcode=]충남 공주시 의당면 요룡리  46894 ]
[zipcode=]충남 공주시 의당면 월곡리  46895 ]
[zipcode=]충남 공주시 의당면 유계리  46896 ]
[zipcode=]충남 공주시 의당면 율정리  46897 ]
[zipcode=]충남 공주시 의당면 중흥리  46898 ]
[zipcode=]충남 공주시 의당면 청룡리  46899 ]
[zipcode=]충남 공주시 의당면  46900 ]
[zipcode=]충남 공주시 이인면 구암리  46901 ]
[zipcode=]충남 공주시 이인면 달산리  46902 ]
[zipcode=]충남 공주시 이인면 만수리  46903 ]
[zipcode=]충남 공주시 이인면 목동리  46904 ]
[zipcode=]충남 공주시 이인면 반송리  46905 ]
[zipcode=]충남 공주시 이인면 발양리  46906 ]
[zipcode=]충남 공주시 이인면 복룡리  46907 ]
[zipcode=]충남 공주시 이인면 산의리  46908 ]
[zipcode=]충남 공주시 이인면 신영리  46909 ]
[zipcode=]충남 공주시 이인면 신흥리  46910 ]
[zipcode=]충남 공주시 이인면 오룡리  46911 ]
[zipcode=]충남 공주시 이인면 용성리  46912 ]
[zipcode=]충남 공주시 이인면 운암리  46913 ]
[zipcode=]충남 공주시 이인면 이곡리  46914 ]
[zipcode=]충남 공주시 이인면 이인리  46915 ]
[zipcode=]충남 공주시 이인면 주봉리  46916 ]
[zipcode=]충남 공주시 이인면 초봉리  46917 ]
[zipcode=]충남 공주시 이인면  46918 ]
[zipcode=]충남 공주시 정안면 광정리 한일고등학교  46919 ]
[zipcode=]충남 공주시 정안면 고성리  46920 ]
[zipcode=]충남 공주시 정안면 광정리  46921 ]
[zipcode=]충남 공주시 정안면 내문리  46922 ]
[zipcode=]충남 공주시 정안면 내촌리  46923 ]
[zipcode=]충남 공주시 정안면 대산리  46924 ]
[zipcode=]충남 공주시 정안면 문천리  46925 ]
[zipcode=]충남 공주시 정안면 보물리  46926 ]
[zipcode=]충남 공주시 정안면 북계리  46927 ]
[zipcode=]충남 공주시 정안면 사현리  46928 ]
[zipcode=]충남 공주시 정안면 산성리  46929 ]
[zipcode=]충남 공주시 정안면 상룡리  46930 ]
[zipcode=]충남 공주시 정안면 석송리  46931 ]
[zipcode=]충남 공주시 정안면 쌍달리  46932 ]
[zipcode=]충남 공주시 정안면 어물리  46933 ]
[zipcode=]충남 공주시 정안면 운궁리  46934 ]
[zipcode=]충남 공주시 정안면 월산리  46935 ]
[zipcode=]충남 공주시 정안면 인풍리  46936 ]
[zipcode=]충남 공주시 정안면 장원리  46937 ]
[zipcode=]충남 공주시 정안면 전평리  46938 ]
[zipcode=]충남 공주시 정안면 태성리  46939 ]
[zipcode=]충남 공주시 정안면 평정리  46940 ]
[zipcode=]충남 공주시 정안면 화봉리  46941 ]
[zipcode=]충남 공주시 정안면  46942 ]
[zipcode=]충남 공주시 탄천면 가척리  46943 ]
[zipcode=]충남 공주시 탄천면 견동리  46944 ]
[zipcode=]충남 공주시 탄천면 광명리  46945 ]
[zipcode=]충남 공주시 탄천면 국동리  46946 ]
[zipcode=]충남 공주시 탄천면 남산리  46947 ]
[zipcode=]충남 공주시 탄천면 대학리  46948 ]
[zipcode=]충남 공주시 탄천면 덕지리  46949 ]
[zipcode=]충남 공주시 탄천면 분강리  46950 ]
[zipcode=]충남 공주시 탄천면 삼각리  46951 ]
[zipcode=]충남 공주시 탄천면 성리  46952 ]
[zipcode=]충남 공주시 탄천면 송학리  46953 ]
[zipcode=]충남 공주시 탄천면 안영리  46954 ]
[zipcode=]충남 공주시 탄천면 운곡리  46955 ]
[zipcode=]충남 공주시 탄천면 유하리  46956 ]
[zipcode=]충남 공주시 탄천면 장선리  46957 ]
[zipcode=]충남 공주시 탄천면 정치리  46958 ]
[zipcode=]충남 공주시 탄천면 화정리  46959 ]
[zipcode=]충남 공주시 탄천면  46960 ]
[zipcode=]충남 공주시 공주우체국사서함  46961 ]
[zipcode=]충남 논산시 강산동 논산세무서  46962 ]
[zipcode=]충남 논산시 강산동 부영아파트  46963 ]
[zipcode=]충남 논산시 강산동  46964 ]
[zipcode=]충남 논산시 관촉동  46965 ]
[zipcode=]충남 논산시 내동 건양대학교  46966 ]
[zipcode=]충남 논산시 내동 논산시청  46967 ]
[zipcode=]충남 논산시 내동 놀뫼아파트  46968 ]
[zipcode=]충남 논산시 내동 제이파크아파트  46969 ]
[zipcode=]충남 논산시 내동  46970 ]
[zipcode=]충남 논산시 대교동 휴먼시아아파트 (101∼107동) 46971 ]
[zipcode=]충남 논산시 대교동 1∼210 46972 ]
[zipcode=]충남 논산시 대교동 211∼500 46973 ]
[zipcode=]충남 논산시 대교동  46974 ]
[zipcode=]충남 논산시 덕지동  46975 ]
[zipcode=]충남 논산시 등화동  46976 ]
[zipcode=]충남 논산시 반월동  46977 ]
[zipcode=]충남 논산시 부창동 대림아파트  46978 ]
[zipcode=]충남 논산시 부창동  46979 ]
[zipcode=]충남 논산시 지산동  46980 ]
[zipcode=]충남 논산시 취암동 주공1단지아파트 (101∼106동) 46981 ]
[zipcode=]충남 논산시 취암동 주공2단지아파트 (201∼208동) 46982 ]
[zipcode=]충남 논산시 취암동 1∼170 46983 ]
[zipcode=]충남 논산시 취암동 171∼359 46984 ]
[zipcode=]충남 논산시 취암동 360∼570 46985 ]
[zipcode=]충남 논산시 취암동 571∼649 46986 ]
[zipcode=]충남 논산시 취암동 650∼1003 46987 ]
[zipcode=]충남 논산시 취암동 1004∼1046 46988 ]
[zipcode=]충남 논산시 취암동 1047∼1500 46989 ]
[zipcode=]충남 논산시 취암동  46990 ]
[zipcode=]충남 논산시 화지동 논산우체국  46991 ]
[zipcode=]충남 논산시 화지동  46992 ]
[zipcode=]충남 논산시 강경읍 남교리  46993 ]
[zipcode=]충남 논산시 강경읍 대흥리  46994 ]
[zipcode=]충남 논산시 강경읍 동흥리  46995 ]
[zipcode=]충남 논산시 강경읍 북옥리  46996 ]
[zipcode=]충남 논산시 강경읍 산양리  46997 ]
[zipcode=]충남 논산시 강경읍 서창리  46998 ]
[zipcode=]충남 논산시 강경읍 염천리  46999 ]
[zipcode=]충남 논산시 강경읍 중앙리  47000 ]
[zipcode=]충남 논산시 강경읍 채산리  47001 ]
[zipcode=]충남 논산시 강경읍 채운리  47002 ]
[zipcode=]충남 논산시 강경읍 태평리  47003 ]
[zipcode=]충남 논산시 강경읍 홍교리  47004 ]
[zipcode=]충남 논산시 강경읍 황산리  47005 ]
[zipcode=]충남 논산시 강경읍  47006 ]
[zipcode=]충남 논산시 연무읍 고내리  47007 ]
[zipcode=]충남 논산시 연무읍 금곡리  47008 ]
[zipcode=]충남 논산시 연무읍 동산리  47009 ]
[zipcode=]충남 논산시 연무읍 마산리  47010 ]
[zipcode=]충남 논산시 연무읍 마전리  47011 ]
[zipcode=]충남 논산시 연무읍 봉동리  47012 ]
[zipcode=]충남 논산시 연무읍 소룡리  47013 ]
[zipcode=]충남 논산시 연무읍 신화리  47014 ]
[zipcode=]충남 논산시 연무읍 안심리  47015 ]
[zipcode=]충남 논산시 연무읍 양지리  47016 ]
[zipcode=]충남 논산시 연무읍 죽본리  47017 ]
[zipcode=]충남 논산시 연무읍 죽평리 사서함 76 47018 ]
[zipcode=]충남 논산시 연무읍 죽평리  47019 ]
[zipcode=]충남 논산시 연무읍 황화정리  47020 ]
[zipcode=]충남 논산시 연무읍  47021 ]
[zipcode=]충남 논산시 가야곡면 강청리  47022 ]
[zipcode=]충남 논산시 가야곡면 두월리  47023 ]
[zipcode=]충남 논산시 가야곡면 등리  47024 ]
[zipcode=]충남 논산시 가야곡면 목곡리  47025 ]
[zipcode=]충남 논산시 가야곡면 병암리  47026 ]
[zipcode=]충남 논산시 가야곡면 산노리  47027 ]
[zipcode=]충남 논산시 가야곡면 삼전리  47028 ]
[zipcode=]충남 논산시 가야곡면 야촌리  47029 ]
[zipcode=]충남 논산시 가야곡면 양촌리  47030 ]
[zipcode=]충남 논산시 가야곡면 왕암리  47031 ]
[zipcode=]충남 논산시 가야곡면 육곡리  47032 ]
[zipcode=]충남 논산시 가야곡면 조정리  47033 ]
[zipcode=]충남 논산시 가야곡면 종연리  47034 ]
[zipcode=]충남 논산시 가야곡면 함적리  47035 ]
[zipcode=]충남 논산시 가야곡면  47036 ]
[zipcode=]충남 논산시 광석면 갈산리  47037 ]
[zipcode=]충남 논산시 광석면 광리  47038 ]
[zipcode=]충남 논산시 광석면 득윤리  47039 ]
[zipcode=]충남 논산시 광석면 사월리  47040 ]
[zipcode=]충남 논산시 광석면 산동리  47041 ]
[zipcode=]충남 논산시 광석면 신당리  47042 ]
[zipcode=]충남 논산시 광석면 오강리  47043 ]
[zipcode=]충남 논산시 광석면 왕전리  47044 ]
[zipcode=]충남 논산시 광석면 율리  47045 ]
[zipcode=]충남 논산시 광석면 이사리  47046 ]
[zipcode=]충남 논산시 광석면 중리  47047 ]
[zipcode=]충남 논산시 광석면 천동리  47048 ]
[zipcode=]충남 논산시 광석면 항월리  47049 ]
[zipcode=]충남 논산시 광석면  47050 ]
[zipcode=]충남 논산시 노성면 가곡리  47051 ]
[zipcode=]충남 논산시 노성면 교촌리  47052 ]
[zipcode=]충남 논산시 노성면 구암리  47053 ]
[zipcode=]충남 논산시 노성면 노티리  47054 ]
[zipcode=]충남 논산시 노성면 두사리  47055 ]
[zipcode=]충남 논산시 노성면 병사리  47056 ]
[zipcode=]충남 논산시 노성면 송당리  47057 ]
[zipcode=]충남 논산시 노성면 읍내리  47058 ]
[zipcode=]충남 논산시 노성면 장구리  47059 ]
[zipcode=]충남 논산시 노성면 죽림리  47060 ]
[zipcode=]충남 논산시 노성면 하도리  47061 ]
[zipcode=]충남 논산시 노성면 호암리  47062 ]
[zipcode=]충남 논산시 노성면 화곡리  47063 ]
[zipcode=]충남 논산시 노성면 효죽리  47064 ]
[zipcode=]충남 논산시 노성면  47065 ]
[zipcode=]충남 논산시 벌곡면 검천리  47066 ]
[zipcode=]충남 논산시 벌곡면 대덕리  47067 ]
[zipcode=]충남 논산시 벌곡면 덕곡리  47068 ]
[zipcode=]충남 논산시 벌곡면 덕목리  47069 ]
[zipcode=]충남 논산시 벌곡면 도산리  47070 ]
[zipcode=]충남 논산시 벌곡면 만목리  47071 ]
[zipcode=]충남 논산시 벌곡면 사정리  47072 ]
[zipcode=]충남 논산시 벌곡면 수락리  47073 ]
[zipcode=]충남 논산시 벌곡면 신양리  47074 ]
[zipcode=]충남 논산시 벌곡면 양산리  47075 ]
[zipcode=]충남 논산시 벌곡면 어곡리  47076 ]
[zipcode=]충남 논산시 벌곡면 조동리  47077 ]
[zipcode=]충남 논산시 벌곡면 조령리  47078 ]
[zipcode=]충남 논산시 벌곡면 한삼천리  47079 ]
[zipcode=]충남 논산시 벌곡면  47080 ]
[zipcode=]충남 논산시 부적면 감곡리  47081 ]
[zipcode=]충남 논산시 부적면 덕평리  47082 ]
[zipcode=]충남 논산시 부적면 마구평리  47083 ]
[zipcode=]충남 논산시 부적면 반송리  47084 ]
[zipcode=]충남 논산시 부적면 부인리  47085 ]
[zipcode=]충남 논산시 부적면 부황리  47086 ]
[zipcode=]충남 논산시 부적면 신교리  47087 ]
[zipcode=]충남 논산시 부적면 신풍리  47088 ]
[zipcode=]충남 논산시 부적면 아호리  47089 ]
[zipcode=]충남 논산시 부적면 외성리  47090 ]
[zipcode=]충남 논산시 부적면 충곡리  47091 ]
[zipcode=]충남 논산시 부적면 탑정리  47092 ]
[zipcode=]충남 논산시 부적면  47093 ]
[zipcode=]충남 논산시 상월면 대명리  47094 ]
[zipcode=]충남 논산시 상월면 대우리  47095 ]
[zipcode=]충남 논산시 상월면 대촌리  47096 ]
[zipcode=]충남 논산시 상월면 산성리  47097 ]
[zipcode=]충남 논산시 상월면 상도리  47098 ]
[zipcode=]충남 논산시 상월면 석종리  47099 ]
[zipcode=]충남 논산시 상월면 숙진리  47100 ]
[zipcode=]충남 논산시 상월면 신충리  47101 ]
[zipcode=]충남 논산시 상월면 월오리  47102 ]
[zipcode=]충남 논산시 상월면 주곡리  47103 ]
[zipcode=]충남 논산시 상월면 지경리  47104 ]
[zipcode=]충남 논산시 상월면 학당리  47105 ]
[zipcode=]충남 논산시 상월면 한천리  47106 ]
[zipcode=]충남 논산시 상월면  47107 ]
[zipcode=]충남 논산시 성동면 개척리  47108 ]
[zipcode=]충남 논산시 성동면 병촌리  47109 ]
[zipcode=]충남 논산시 성동면 삼산리  47110 ]
[zipcode=]충남 논산시 성동면 삼호리  47111 ]
[zipcode=]충남 논산시 성동면 우곤리  47112 ]
[zipcode=]충남 논산시 성동면 원남리  47113 ]
[zipcode=]충남 논산시 성동면 원봉리  47114 ]
[zipcode=]충남 논산시 성동면 원북리  47115 ]
[zipcode=]충남 논산시 성동면 월성리  47116 ]
[zipcode=]충남 논산시 성동면 정지리  47117 ]
[zipcode=]충남 논산시 성동면 화정리  47118 ]
[zipcode=]충남 논산시 성동면  47119 ]
[zipcode=]충남 논산시 양촌면 거사리  47120 ]
[zipcode=]충남 논산시 양촌면 남산리  47121 ]
[zipcode=]충남 논산시 양촌면 도평리  47122 ]
[zipcode=]충남 논산시 양촌면 명암리  47123 ]
[zipcode=]충남 논산시 양촌면 모촌리  47124 ]
[zipcode=]충남 논산시 양촌면 반곡리  47125 ]
[zipcode=]충남 논산시 양촌면 반암리  47126 ]
[zipcode=]충남 논산시 양촌면 산직리  47127 ]
[zipcode=]충남 논산시 양촌면 석서리  47128 ]
[zipcode=]충남 논산시 양촌면 신기리  47129 ]
[zipcode=]충남 논산시 양촌면 신흥리  47130 ]
[zipcode=]충남 논산시 양촌면 양촌리  47131 ]
[zipcode=]충남 논산시 양촌면 오산리  47132 ]
[zipcode=]충남 논산시 양촌면 인천리  47133 ]
[zipcode=]충남 논산시 양촌면 임화리  47134 ]
[zipcode=]충남 논산시 양촌면 중산리  47135 ]
[zipcode=]충남 논산시 양촌면 채광리  47136 ]
[zipcode=]충남 논산시 양촌면  47137 ]
[zipcode=]충남 논산시 연산면 고양리  47138 ]
[zipcode=]충남 논산시 연산면 고정리  47139 ]
[zipcode=]충남 논산시 연산면 관동리  47140 ]
[zipcode=]충남 논산시 연산면 덕암리  47141 ]
[zipcode=]충남 논산시 연산면 백석리  47142 ]
[zipcode=]충남 논산시 연산면 사포리  47143 ]
[zipcode=]충남 논산시 연산면 송산리  47144 ]
[zipcode=]충남 논산시 연산면 송정리  47145 ]
[zipcode=]충남 논산시 연산면 신암리  47146 ]
[zipcode=]충남 논산시 연산면 신양리  47147 ]
[zipcode=]충남 논산시 연산면 어은리  47148 ]
[zipcode=]충남 논산시 연산면 연산리  47149 ]
[zipcode=]충남 논산시 연산면 오산리  47150 ]
[zipcode=]충남 논산시 연산면 임리  47151 ]
[zipcode=]충남 논산시 연산면 장전리  47152 ]
[zipcode=]충남 논산시 연산면 천호리  47153 ]
[zipcode=]충남 논산시 연산면 청동리  47154 ]
[zipcode=]충남 논산시 연산면 표정리  47155 ]
[zipcode=]충남 논산시 연산면 한전리  47156 ]
[zipcode=]충남 논산시 연산면 화악리  47157 ]
[zipcode=]충남 논산시 연산면  47158 ]
[zipcode=]충남 논산시 은진면 교촌리  47159 ]
[zipcode=]충남 논산시 은진면 남산리  47160 ]
[zipcode=]충남 논산시 은진면 방축리  47161 ]
[zipcode=]충남 논산시 은진면 성덕리  47162 ]
[zipcode=]충남 논산시 은진면 성평리  47163 ]
[zipcode=]충남 논산시 은진면 시묘리  47164 ]
[zipcode=]충남 논산시 은진면 연서리  47165 ]
[zipcode=]충남 논산시 은진면 와야리  47166 ]
[zipcode=]충남 논산시 은진면 용산리  47167 ]
[zipcode=]충남 논산시 은진면 토양리  47168 ]
[zipcode=]충남 논산시 은진면  47169 ]
[zipcode=]충남 논산시 채운면 삼거리  47170 ]
[zipcode=]충남 논산시 채운면 심암리  47171 ]
[zipcode=]충남 논산시 채운면 야화리  47172 ]
[zipcode=]충남 논산시 채운면 용화리  47173 ]
[zipcode=]충남 논산시 채운면 우기리  47174 ]
[zipcode=]충남 논산시 채운면 장화리  47175 ]
[zipcode=]충남 논산시 채운면 화산리  47176 ]
[zipcode=]충남 논산시 채운면 화정리  47177 ]
[zipcode=]충남 논산시 채운면  47178 ]
[zipcode=]충남 논산시 논산우체국사서함  47179 ]
[zipcode=]충남 당진시 구룡동  47180 ]
