[zipcode=]경북 경산시 갑제동 한국조폐공사화폐본부  34522 ]
[zipcode=]경북 경산시 옥곡동 동화프라임빌  34572 ]
[zipcode=]경북 경산시 옥곡동 보국웰리치성암아파트 (101∼106동) 34573 ]
[zipcode=]경북 경산시 옥곡동 서부부영1차조은마을아파트  34574 ]
[zipcode=]경북 경산시 옥곡동 서부부영2차우리마을아파트  34575 ]
[zipcode=]경북 경산시 옥곡동 서부부영3차두리마을아파트  34576 ]
[zipcode=]경북 경산시 옥곡동 성암산신동아파밀리에아파트 (101∼118동) 34577 ]
[zipcode=]경북 경산시 옥곡동 한일유앤아이아파트 (101∼106동) 34578 ]
[zipcode=]경북 경산시 옥곡동  34579 ]
[zipcode=]경북 경산시 옥산동 옥산해오름아파트 (101∼204동) 34580 ]
[zipcode=]경북 경산시 옥산동 우방아파트  34581 ]
[zipcode=]경북 경산시 옥산동 창신성암아파트  34582 ]
[zipcode=]경북 경산시 옥산동 청구아파트  34583 ]
[zipcode=]경북 경산시 옥산동 평광신화아파트  34584 ]
[zipcode=]경북 경산시 옥산동 협화아파트  34585 ]
[zipcode=]경북 경산시 옥산동 1∼199 34586 ]
[zipcode=]경북 경산시 옥산동 200∼699 34587 ]
[zipcode=]경북 경산시 옥산동 700∼829 34588 ]
[zipcode=]경북 경산시 옥산동 830∼849 34589 ]
[zipcode=]경북 경산시 옥산동 850∼863 34590 ]
[zipcode=]경북 경산시 옥산동 864∼899 34591 ]
[zipcode=]경북 경산시 옥산동  34592 ]
[zipcode=]경북 경산시 유곡동 대구한의대학교  34593 ]
[zipcode=]경북 경산시 유곡동  34594 ]
[zipcode=]경북 경산시 임당동  34595 ]
[zipcode=]경북 경산시 점촌동  34596 ]
[zipcode=]경북 경산시 정평동 우방아파트  34597 ]
[zipcode=]경북 경산시 정평동 정평현대타운 (101∼110동) 34598 ]
[zipcode=]경북 경산시 정평동 태왕귀빈아파트  34599 ]
[zipcode=]경북 경산시 정평동 한서신혼하이츠  34600 ]
[zipcode=]경북 경산시 정평동 한솔1차아파트  34601 ]
[zipcode=]경북 경산시 정평동 한솔2차아파트  34602 ]
[zipcode=]경북 경산시 정평동 한솔3차아파트  34603 ]
[zipcode=]경북 경산시 정평동 현대아파트  34604 ]
[zipcode=]경북 경산시 정평동  34605 ]
[zipcode=]경북 경산시 조영동  34606 ]
[zipcode=]경북 경산시 중방동 경산시청  34607 ]
[zipcode=]경북 경산시 중방동 중방e편한세상1단지 (101∼106동) 34608 ]
[zipcode=]경북 경산시 중방동 중방e편한세상2단지 (201∼206동) 34609 ]
[zipcode=]경북 경산시 중방동 중방e편한세상3단지 (301∼307동) 34610 ]
[zipcode=]경북 경산시 중방동 1∼299 34611 ]
[zipcode=]경북 경산시 중방동 300∼520 34612 ]
[zipcode=]경북 경산시 중방동 521∼799 34613 ]
[zipcode=]경북 경산시 중방동 800∼848 34614 ]
[zipcode=]경북 경산시 중방동 849∼862 34615 ]
[zipcode=]경북 경산시 중방동 863∼899 34616 ]
[zipcode=]경북 경산시 중방동  34617 ]
[zipcode=]경북 경산시 중산동 경남신성아파트  34618 ]
[zipcode=]경북 경산시 중산동 태왕한라아파트  34619 ]
[zipcode=]경북 경산시 중산동  34620 ]
[zipcode=]경북 경산시 평산동 대구미래대학  34621 ]
[zipcode=]경북 경산시 평산동 사동휴먼시아2단지아파트 (201∼206동) 34622 ]
[zipcode=]경북 경산시 평산동  34623 ]
[zipcode=]경북 경산시 진량읍 가야리  34624 ]
[zipcode=]경북 경산시 진량읍 광석리  34625 ]
[zipcode=]경북 경산시 진량읍 내리리  34626 ]
[zipcode=]경북 경산시 진량읍 다문리  34627 ]
[zipcode=]경북 경산시 진량읍 당곡리  34628 ]
[zipcode=]경북 경산시 진량읍 대구대학교경산캠퍼스  34629 ]
[zipcode=]경북 경산시 진량읍 대원리  34630 ]
[zipcode=]경북 경산시 진량읍 마곡리  34631 ]
[zipcode=]경북 경산시 진량읍 문천리  34632 ]
[zipcode=]경북 경산시 진량읍 보인리  34633 ]
[zipcode=]경북 경산시 진량읍 봉회1리  34634 ]
[zipcode=]경북 경산시 진량읍 봉회2리 삼주봉황1차아파트  34635 ]
[zipcode=]경북 경산시 진량읍 봉회2리 삼주봉황2차아파트  34636 ]
[zipcode=]경북 경산시 진량읍 봉회2리 삼주봉황3차아파트  34637 ]
[zipcode=]경북 경산시 진량읍 봉회2리  34638 ]
[zipcode=]경북 경산시 진량읍 봉회리  34639 ]
[zipcode=]경북 경산시 진량읍 부기리 진량휴먼시아아파트 (101∼106동) 34640 ]
[zipcode=]경북 경산시 진량읍 부기리 창신무학아파트  34641 ]
[zipcode=]경북 경산시 진량읍 부기리  34642 ]
[zipcode=]경북 경산시 진량읍 북1리  34643 ]
[zipcode=]경북 경산시 진량읍 북2리  34644 ]
[zipcode=]경북 경산시 진량읍 북3리 삼주봉황4차아파트  34645 ]
[zipcode=]경북 경산시 진량읍 북3리  34646 ]
[zipcode=]경북 경산시 진량읍 북리  34647 ]
[zipcode=]경북 경산시 진량읍 상림리  34648 ]
[zipcode=]경북 경산시 진량읍 선화1리  34649 ]
[zipcode=]경북 경산시 진량읍 선화2리  34650 ]
[zipcode=]경북 경산시 진량읍 선화3리  34651 ]
[zipcode=]경북 경산시 진량읍 선화4리  34652 ]
[zipcode=]경북 경산시 진량읍 선화5리 윤성1차아파트  34653 ]
[zipcode=]경북 경산시 진량읍 선화5리  34654 ]
[zipcode=]경북 경산시 진량읍 선화6리 청구아파트  34655 ]
[zipcode=]경북 경산시 진량읍 선화6리  34656 ]
[zipcode=]경북 경산시 진량읍 선화리  34657 ]
[zipcode=]경북 경산시 진량읍 속초리  34658 ]
[zipcode=]경북 경산시 진량읍 시문리  34659 ]
[zipcode=]경북 경산시 진량읍 신상1리  34660 ]
[zipcode=]경북 경산시 진량읍 신상2리  34661 ]
[zipcode=]경북 경산시 진량읍 신상3리 1184∼1210 34662 ]
[zipcode=]경북 경산시 진량읍 신상3리 보국웰리치아파트  34663 ]
[zipcode=]경북 경산시 진량읍 신상3리 1∼1183 34664 ]
[zipcode=]경북 경산시 진량읍 신상4리 우방힐타운아파트  34665 ]
[zipcode=]경북 경산시 진량읍 신상4리  34666 ]
[zipcode=]경북 경산시 진량읍 신상리  34667 ]
[zipcode=]경북 경산시 진량읍 신제리  34668 ]
[zipcode=]경북 경산시 진량읍 아사리  34669 ]
[zipcode=]경북 경산시 진량읍 안촌리  34670 ]
[zipcode=]경북 경산시 진량읍 양기리 초원장미아파트  34671 ]
[zipcode=]경북 경산시 진량읍 양기리  34672 ]
[zipcode=]경북 경산시 진량읍 영남신학대학교  34673 ]
[zipcode=]경북 경산시 진량읍 평사리  34674 ]
[zipcode=]경북 경산시 진량읍 현내리  34675 ]
[zipcode=]경북 경산시 진량읍 황제리 창신황제아파트  34676 ]
[zipcode=]경북 경산시 진량읍 황제리  34677 ]
[zipcode=]경북 경산시 진량읍  34678 ]
[zipcode=]경북 경산시 하양읍 경일대학교  34679 ]
[zipcode=]경북 경산시 하양읍 교리  34680 ]
[zipcode=]경북 경산시 하양읍 금락1리  34681 ]
[zipcode=]경북 경산시 하양읍 금락2리  34682 ]
[zipcode=]경북 경산시 하양읍 금락3리  34683 ]
[zipcode=]경북 경산시 하양읍 금락4리  34684 ]
[zipcode=]경북 경산시 하양읍 금락5리  34685 ]
[zipcode=]경북 경산시 하양읍 금락6리  34686 ]
[zipcode=]경북 경산시 하양읍 금락7리  34687 ]
[zipcode=]경북 경산시 하양읍 금락리 대구가톨릭대학교  34688 ]
[zipcode=]경북 경산시 하양읍 금락리  34689 ]
[zipcode=]경북 경산시 하양읍 남하리  34690 ]
[zipcode=]경북 경산시 하양읍 대곡리  34691 ]
[zipcode=]경북 경산시 하양읍 대조리  34692 ]
[zipcode=]경북 경산시 하양읍 대학리  34693 ]
[zipcode=]경북 경산시 하양읍 도리리  34694 ]
[zipcode=]경북 경산시 하양읍 동서1리  34695 ]
[zipcode=]경북 경산시 하양읍 동서2리  34696 ]
[zipcode=]경북 경산시 하양읍 동서3리  34697 ]
[zipcode=]경북 경산시 하양읍 동서4리  34698 ]
[zipcode=]경북 경산시 하양읍 동서5리  34699 ]
[zipcode=]경북 경산시 하양읍 동서리  34700 ]
[zipcode=]경북 경산시 하양읍 부호1리 경산1대학  34701 ]
[zipcode=]경북 경산시 하양읍 부호1리  34702 ]
[zipcode=]경북 경산시 하양읍 부호2리  34703 ]
[zipcode=]경북 경산시 하양읍 부호리  34704 ]
[zipcode=]경북 경산시 하양읍 사기리  34705 ]
[zipcode=]경북 경산시 하양읍 서사리  34706 ]
[zipcode=]경북 경산시 하양읍 양지리  34707 ]
[zipcode=]경북 경산시 하양읍 은호리  34708 ]
[zipcode=]경북 경산시 하양읍 청천리  34709 ]
[zipcode=]경북 경산시 하양읍 한사리  34710 ]
[zipcode=]경북 경산시 하양읍 환상리  34711 ]
[zipcode=]경북 경산시 하양읍  34712 ]
[zipcode=]경북 경산시 남산면 갈지리  34713 ]
[zipcode=]경북 경산시 남산면 경리  34714 ]
[zipcode=]경북 경산시 남산면 남곡리  34715 ]
[zipcode=]경북 경산시 남산면 반곡리  34716 ]
[zipcode=]경북 경산시 남산면 사림리  34717 ]
[zipcode=]경북 경산시 남산면 사월리  34718 ]
[zipcode=]경북 경산시 남산면 산양리  34719 ]
[zipcode=]경북 경산시 남산면 상대리  34720 ]
[zipcode=]경북 경산시 남산면 송내리  34721 ]
[zipcode=]경북 경산시 남산면 안심리  34722 ]
[zipcode=]경북 경산시 남산면 연하리  34723 ]
[zipcode=]경북 경산시 남산면 우검리  34724 ]
[zipcode=]경북 경산시 남산면 인흥리  34725 ]
[zipcode=]경북 경산시 남산면 전지리  34726 ]
[zipcode=]경북 경산시 남산면 조곡리  34727 ]
[zipcode=]경북 경산시 남산면 평기리  34728 ]
[zipcode=]경북 경산시 남산면 하대리  34729 ]
[zipcode=]경북 경산시 남산면 흥정리  34730 ]
[zipcode=]경북 경산시 남산면  34731 ]
[zipcode=]경북 경산시 남천면 협석리 영남외국어대학  34732 ]
[zipcode=]경북 경산시 남천면 구일리  34733 ]
[zipcode=]경북 경산시 남천면 금곡리  34734 ]
[zipcode=]경북 경산시 남천면 대명리  34735 ]
[zipcode=]경북 경산시 남천면 산전리  34736 ]
[zipcode=]경북 경산시 남천면 삼성리  34737 ]
[zipcode=]경북 경산시 남천면 송백리  34738 ]
[zipcode=]경북 경산시 남천면 신방리  34739 ]
[zipcode=]경북 경산시 남천면 신석리  34740 ]
[zipcode=]경북 경산시 남천면 원리  34741 ]
[zipcode=]경북 경산시 남천면 하도리  34742 ]
[zipcode=]경북 경산시 남천면 협석리  34743 ]
[zipcode=]경북 경산시 남천면 협석리 대구외국어대학교  34744 ]
[zipcode=]경북 경산시 남천면 흥산리  34745 ]
[zipcode=]경북 경산시 남천면  34746 ]
[zipcode=]경북 경산시 압량면 가일리  34747 ]
[zipcode=]경북 경산시 압량면 강서리  34748 ]
[zipcode=]경북 경산시 압량면 금구리  34749 ]
[zipcode=]경북 경산시 압량면 내리  34750 ]
[zipcode=]경북 경산시 압량면 당리리  34751 ]
[zipcode=]경북 경산시 압량면 당음리  34752 ]
[zipcode=]경북 경산시 압량면 백안리  34753 ]
[zipcode=]경북 경산시 압량면 부적1리  34754 ]
[zipcode=]경북 경산시 압량면 부적1리 주공아파트  34755 ]
[zipcode=]경북 경산시 압량면 부적2리  34756 ]
[zipcode=]경북 경산시 압량면 부적3리  34757 ]
[zipcode=]경북 경산시 압량면 부적4리  34758 ]
[zipcode=]경북 경산시 압량면 부적5리  34759 ]
[zipcode=]경북 경산시 압량면 부적리  34760 ]
[zipcode=]경북 경산시 압량면 신대리 부영사랑으로아파트 (101∼107동) 34761 ]
[zipcode=]경북 경산시 압량면 신대리 부영사랑으로아파트 (201∼207동) 34762 ]
[zipcode=]경북 경산시 압량면 신대리  34763 ]
[zipcode=]경북 경산시 압량면 신월리  34764 ]
[zipcode=]경북 경산시 압량면 신촌리  34765 ]
[zipcode=]경북 경산시 압량면 압량리  34766 ]
[zipcode=]경북 경산시 압량면 용암리  34767 ]
[zipcode=]경북 경산시 압량면 의송리  34768 ]
[zipcode=]경북 경산시 압량면 인안1리  34769 ]
[zipcode=]경북 경산시 압량면 인안2리  34770 ]
[zipcode=]경북 경산시 압량면 인안3리 윤성3차아파트  34771 ]
[zipcode=]경북 경산시 압량면 인안3리  34772 ]
[zipcode=]경북 경산시 압량면 인안리  34773 ]
[zipcode=]경북 경산시 압량면 현흥리  34774 ]
[zipcode=]경북 경산시 압량면  34775 ]
[zipcode=]경북 경산시 와촌면 강학리  34776 ]
[zipcode=]경북 경산시 와촌면 계당리  34777 ]
[zipcode=]경북 경산시 와촌면 계전리  34778 ]
[zipcode=]경북 경산시 와촌면 대동리  34779 ]
[zipcode=]경북 경산시 와촌면 대한리  34780 ]
[zipcode=]경북 경산시 와촌면 덕촌리 예다인아파트 (101∼104동) 34781 ]
[zipcode=]경북 경산시 와촌면 덕촌리  34782 ]
[zipcode=]경북 경산시 와촌면 동강1리 1∼120 34783 ]
[zipcode=]경북 경산시 와촌면 동강1리 121∼200 34784 ]
[zipcode=]경북 경산시 와촌면 동강2리  34785 ]
[zipcode=]경북 경산시 와촌면 동강리  34786 ]
[zipcode=]경북 경산시 와촌면 박사리  34787 ]
[zipcode=]경북 경산시 와촌면 상암리  34788 ]
[zipcode=]경북 경산시 와촌면 소월1리  34789 ]
[zipcode=]경북 경산시 와촌면 소월2리 1∼229 34790 ]
[zipcode=]경북 경산시 와촌면 소월2리 230∼980 34791 ]
[zipcode=]경북 경산시 와촌면 소월3리  34792 ]
[zipcode=]경북 경산시 와촌면 소월리  34793 ]
[zipcode=]경북 경산시 와촌면 시천리  34794 ]
[zipcode=]경북 경산시 와촌면 신한리  34795 ]
[zipcode=]경북 경산시 와촌면 용천리  34796 ]
[zipcode=]경북 경산시 와촌면 음양리  34797 ]
[zipcode=]경북 경산시 와촌면  34798 ]
[zipcode=]경북 경산시 용성면 가척리  34799 ]
[zipcode=]경북 경산시 용성면 고은리  34800 ]
[zipcode=]경북 경산시 용성면 고죽리  34801 ]
[zipcode=]경북 경산시 용성면 곡란리  34802 ]
[zipcode=]경북 경산시 용성면 곡신리  34803 ]
[zipcode=]경북 경산시 용성면 내촌리  34804 ]
[zipcode=]경북 경산시 용성면 당리리  34805 ]
[zipcode=]경북 경산시 용성면 대종리  34806 ]
[zipcode=]경북 경산시 용성면 덕천리  34807 ]
[zipcode=]경북 경산시 용성면 도덕리  34808 ]
[zipcode=]경북 경산시 용성면 매남리  34809 ]
[zipcode=]경북 경산시 용성면 미산리  34810 ]
[zipcode=]경북 경산시 용성면 부일리  34811 ]
[zipcode=]경북 경산시 용성면 부제리  34812 ]
[zipcode=]경북 경산시 용성면 송림리  34813 ]
[zipcode=]경북 경산시 용성면 외촌리  34814 ]
[zipcode=]경북 경산시 용성면 용산리  34815 ]
[zipcode=]경북 경산시 용성면 용전리  34816 ]
[zipcode=]경북 경산시 용성면 용천리  34817 ]
[zipcode=]경북 경산시 용성면 일광리  34818 ]
[zipcode=]경북 경산시 용성면  34819 ]
[zipcode=]경북 경산시 자인면 대경대학  34820 ]
[zipcode=]경북 경산시 자인면 계남리  34821 ]
[zipcode=]경북 경산시 자인면 계림리  34822 ]
[zipcode=]경북 경산시 자인면 교촌리  34823 ]
[zipcode=]경북 경산시 자인면 남신리  34824 ]
[zipcode=]경북 경산시 자인면 남촌리  34825 ]
[zipcode=]경북 경산시 자인면 단북리  34826 ]
[zipcode=]경북 경산시 자인면 동부1리  34827 ]
[zipcode=]경북 경산시 자인면 동부2리  34828 ]
[zipcode=]경북 경산시 자인면 동부리  34829 ]
[zipcode=]경북 경산시 자인면 북사1리  34830 ]
[zipcode=]경북 경산시 자인면 북사2리  34831 ]
[zipcode=]경북 경산시 자인면 북사리  34832 ]
[zipcode=]경북 경산시 자인면 서부리  34833 ]
[zipcode=]경북 경산시 자인면 신관리  34834 ]
[zipcode=]경북 경산시 자인면 신도리  34835 ]
[zipcode=]경북 경산시 자인면 옥천리  34836 ]
[zipcode=]경북 경산시 자인면 울옥리  34837 ]
[zipcode=]경북 경산시 자인면 원당리  34838 ]
[zipcode=]경북 경산시 자인면 읍천리  34839 ]
[zipcode=]경북 경산시 자인면 일언리  34840 ]
[zipcode=]경북 경산시 자인면  34841 ]
[zipcode=]경북 경산시 경산우체국사서함  34842 ]
[zipcode=]경북 경주시 광명동  34843 ]
[zipcode=]경북 경주시 교동  34844 ]
[zipcode=]경북 경주시 구정동  34845 ]
[zipcode=]경북 경주시 구황동  34846 ]
[zipcode=]경북 경주시 남산동  34847 ]
[zipcode=]경북 경주시 노동동  34848 ]
[zipcode=]경북 경주시 노서동 1∼120 34849 ]
[zipcode=]경북 경주시 노서동 121∼194 34850 ]
[zipcode=]경북 경주시 노서동 195∼225 34851 ]
[zipcode=]경북 경주시 노서동 226∼500 34852 ]
[zipcode=]경북 경주시 노서동  34853 ]
[zipcode=]경북 경주시 덕동  34854 ]
[zipcode=]경북 경주시 도지동  34855 ]
[zipcode=]경북 경주시 동방동  34856 ]
[zipcode=]경북 경주시 동부동 대구지방검찰청경주지청  34857 ]
[zipcode=]경북 경주시 동부동 대구지방법원경주지원  34858 ]
[zipcode=]경북 경주시 동부동  34859 ]
[zipcode=]경북 경주시 동천동 경주시청  34860 ]
[zipcode=]경북 경주시 동천동 동원아파트  34861 ]
[zipcode=]경북 경주시 동천동 삼성아파트  34862 ]
[zipcode=]경북 경주시 동천동 우방아파트  34863 ]
[zipcode=]경북 경주시 동천동 우주로얄아파트  34864 ]
[zipcode=]경북 경주시 동천동 월성아파트  34865 ]
[zipcode=]경북 경주시 동천동 1∼579 34866 ]
[zipcode=]경북 경주시 동천동 580∼763 34867 ]
[zipcode=]경북 경주시 동천동 764∼876 34868 ]
[zipcode=]경북 경주시 동천동 877∼1000 34869 ]
[zipcode=]경북 경주시 동천동  34870 ]
[zipcode=]경북 경주시 마동  34871 ]
[zipcode=]경북 경주시 배동  34872 ]
[zipcode=]경북 경주시 배반동 1∼39 34873 ]
[zipcode=]경북 경주시 배반동 40∼500 34874 ]
[zipcode=]경북 경주시 배반동 501∼1300 34875 ]
[zipcode=]경북 경주시 배반동  34876 ]
[zipcode=]경북 경주시 보문동  34877 ]
[zipcode=]경북 경주시 북군동  34878 ]
[zipcode=]경북 경주시 북부동  34879 ]
[zipcode=]경북 경주시 사정동 1∼48 34880 ]
[zipcode=]경북 경주시 사정동 49∼119 34881 ]
[zipcode=]경북 경주시 사정동 120∼199 34882 ]
[zipcode=]경북 경주시 사정동 200∼399 34883 ]
[zipcode=]경북 경주시 사정동 400∼500 34884 ]
[zipcode=]경북 경주시 사정동  34885 ]
[zipcode=]경북 경주시 서부동  34886 ]
[zipcode=]경북 경주시 서악동  34887 ]
[zipcode=]경북 경주시 석장동 동국대학교경주캠퍼스  34888 ]
[zipcode=]경북 경주시 석장동  34889 ]
[zipcode=]경북 경주시 성건동 1∼168 34890 ]
[zipcode=]경북 경주시 성건동 169∼338 34891 ]
[zipcode=]경북 경주시 성건동 339∼416 34892 ]
[zipcode=]경북 경주시 성건동 417∼583 34893 ]
[zipcode=]경북 경주시 성건동 584∼620 34894 ]
[zipcode=]경북 경주시 성건동 621∼639 34895 ]
[zipcode=]경북 경주시 성건동 640∼646 34896 ]
[zipcode=]경북 경주시 성건동 647∼655 34897 ]
[zipcode=]경북 경주시 성건동 656∼660 34898 ]
[zipcode=]경북 경주시 성건동 661∼689 34899 ]
[zipcode=]경북 경주시 성건동 690∼800 34900 ]
[zipcode=]경북 경주시 성건동  34901 ]
[zipcode=]경북 경주시 성동동 1∼121 34902 ]
[zipcode=]경북 경주시 성동동 122∼130 34903 ]
[zipcode=]경북 경주시 성동동 131∼178 34904 ]
[zipcode=]경북 경주시 성동동 179∼409 34905 ]
[zipcode=]경북 경주시 성동동 410∼450 34906 ]
[zipcode=]경북 경주시 성동동  34907 ]
[zipcode=]경북 경주시 손곡동  34908 ]
[zipcode=]경북 경주시 시동  34909 ]
[zipcode=]경북 경주시 시래동  34910 ]
[zipcode=]경북 경주시 신평동  34911 ]
[zipcode=]경북 경주시 암곡동  34912 ]
[zipcode=]경북 경주시 용강동 대신1차아파트  34913 ]
[zipcode=]경북 경주시 용강동 대신2차아파트  34914 ]
[zipcode=]경북 경주시 용강동 대신3차아파트  34915 ]
[zipcode=]경북 경주시 용강동 주공아파트  34916 ]
[zipcode=]경북 경주시 용강동 1∼600 34917 ]
[zipcode=]경북 경주시 용강동 601∼1000 34918 ]
[zipcode=]경북 경주시 용강동 1001∼1301 34919 ]
[zipcode=]경북 경주시 용강동 1302∼1400 34920 ]
[zipcode=]경북 경주시 용강동  34921 ]
[zipcode=]경북 경주시 율동  34922 ]
[zipcode=]경북 경주시 인왕동  34923 ]
[zipcode=]경북 경주시 조양동  34924 ]
[zipcode=]경북 경주시 진현동  34925 ]
[zipcode=]경북 경주시 천군동  34926 ]
[zipcode=]경북 경주시 충효동 대우아파트 (101∼206동) 34927 ]
[zipcode=]경북 경주시 충효동 삼보마을아파트 (201∼302동) 34928 ]
[zipcode=]경북 경주시 충효동 삼정그린뷰경주본가아파트 (101∼107동) 34929 ]
[zipcode=]경북 경주시 충효동 서라벌대학  34930 ]
[zipcode=]경북 경주시 충효동 1∼400 34931 ]
[zipcode=]경북 경주시 충효동 401∼2959 34932 ]
[zipcode=]경북 경주시 충효동 2960∼3020 34933 ]
[zipcode=]경북 경주시 충효동  34934 ]
[zipcode=]경북 경주시 탑동  34935 ]
[zipcode=]경북 경주시 평동  34936 ]
[zipcode=]경북 경주시 하동  34937 ]
[zipcode=]경북 경주시 황남동  34938 ]
[zipcode=]경북 경주시 황성동 럭키아파트  34939 ]
[zipcode=]경북 경주시 황성동 삼보아파트  34940 ]
[zipcode=]경북 경주시 황성동 신흥로얄맨션 (101∼103동) 34941 ]
[zipcode=]경북 경주시 황성동 우주타운  34942 ]
[zipcode=]경북 경주시 황성동 주공1차아파트  34943 ]
[zipcode=]경북 경주시 황성동 주공2차아파트  34944 ]
[zipcode=]경북 경주시 황성동 청우아파트  34945 ]
[zipcode=]경북 경주시 황성동 현대5차아파트 (501∼509동) 34946 ]
[zipcode=]경북 경주시 황성동 현대아파트 (101∼301동) 34947 ]
[zipcode=]경북 경주시 황성동 현진에버빌 (101∼111동) 34948 ]
[zipcode=]경북 경주시 황성동 1∼240 34949 ]
[zipcode=]경북 경주시 황성동 241∼336 34950 ]
[zipcode=]경북 경주시 황성동 337∼484 34951 ]
[zipcode=]경북 경주시 황성동 485∼510 34952 ]
[zipcode=]경북 경주시 황성동 511∼521 34953 ]
[zipcode=]경북 경주시 황성동 522∼1066 34954 ]
[zipcode=]경북 경주시 황성동 1067∼1074 34955 ]
[zipcode=]경북 경주시 황성동 1075∼1200 34956 ]
[zipcode=]경북 경주시 황성동  34957 ]
[zipcode=]경북 경주시 황오동 경주우체국  34958 ]
[zipcode=]경북 경주시 황오동 1∼99 34959 ]
[zipcode=]경북 경주시 황오동 100∼139 34960 ]
[zipcode=]경북 경주시 황오동 140∼400 34961 ]
[zipcode=]경북 경주시 황오동  34962 ]
[zipcode=]경북 경주시 황용동  34963 ]
[zipcode=]경북 경주시 효현동 경주대학교  34964 ]
[zipcode=]경북 경주시 효현동  34965 ]
[zipcode=]경북 경주시 감포읍 감포1리  34966 ]
[zipcode=]경북 경주시 감포읍 감포2리  34967 ]
[zipcode=]경북 경주시 감포읍 감포3리  34968 ]
[zipcode=]경북 경주시 감포읍 감포4리  34969 ]
[zipcode=]경북 경주시 감포읍 감포5리  34970 ]
[zipcode=]경북 경주시 감포읍 감포리  34971 ]
[zipcode=]경북 경주시 감포읍 나정리  34972 ]
[zipcode=]경북 경주시 감포읍 노동리  34973 ]
[zipcode=]경북 경주시 감포읍 대본리  34974 ]
[zipcode=]경북 경주시 감포읍 오류1리  34975 ]
[zipcode=]경북 경주시 감포읍 오류2리  34976 ]
[zipcode=]경북 경주시 감포읍 오류3리  34977 ]
[zipcode=]경북 경주시 감포읍 오류4리  34978 ]
[zipcode=]경북 경주시 감포읍 오류리  34979 ]
[zipcode=]경북 경주시 감포읍 전동리  34980 ]
[zipcode=]경북 경주시 감포읍 전촌리  34981 ]
[zipcode=]경북 경주시 감포읍 팔조리  34982 ]
[zipcode=]경북 경주시 감포읍 호동리  34983 ]
[zipcode=]경북 경주시 감포읍  34984 ]
[zipcode=]경북 경주시 건천읍 건천리  34985 ]
[zipcode=]경북 경주시 건천읍 금척리  34986 ]
[zipcode=]경북 경주시 건천읍 대곡리  34987 ]
